run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.540834,12.4574,23.0338,0.598813,,,10,64,0.0001,106.2,2026-08-05T11:31:36.602242+00:00,
,B5,30,0.0,1.0,0,0.702365,16.1781,23.0338,0.39121,,,10,64,0.0001,208.0,2026-08-05T11:35:04.616217+00:00,
,MAS,30,100.0,1.0,0,0.807433,18.5982,23.0338,0.565397,,,10,64,0.0001,119.2,2026-08-05T11:37:03.856009+00:00,
,LwF,30,100.0,1.0,0,0.662542,15.2608,23.0338,0.587747,,,10,64,0.0001,310.6,2026-08-05T11:42:14.473117+00:00,
,DERpp,30,100.0,1.0,0,0.799996,18.4269,23.0338,0.658856,,,10,64,0.0001,439.2,2026-08-05T11:49:33.699737+00:00,
,AGEM,30,100.0,1.0,0,0.533494,12.2884,23.0338,0.51478,,,10,64,0.0001,212.3,2026-08-05T11:53:06.056351+00:00,
,B3,30,0.0,0.0,1,0.530772,12.2257,23.0338,0.546437,,,10,64,0.0001,114.2,2026-08-05T11:55:00.320795+00:00,
,B5,30,0.0,1.0,1,0.665059,15.3188,23.0338,0.379598,,,10,64,0.0001,209.2,2026-08-05T11:58:29.513452+00:00,
,MAS,30,100.0,1.0,1,0.816942,18.8172,23.0338,0.579856,,,10,64,0.0001,122.5,2026-08-05T12:00:32.019553+00:00,
,LwF,30,100.0,1.0,1,0.667285,15.3701,23.0338,0.551169,,,10,64,0.0001,789.1,2026-08-05T12:13:41.226900+00:00,
,DERpp,30,100.0,1.0,1,0.784451,18.0689,23.0338,0.593665,,,10,64,0.0001,1205.4,2026-08-05T12:33:46.904701+00:00,
,AGEM,30,100.0,1.0,1,0.545604,12.5673,23.0338,0.534283,,,10,64,0.0001,514.7,2026-08-05T12:42:21.600548+00:00,
,B3,30,0.0,0.0,2,0.498626,11.4852,23.0338,0.539304,,,10,64,0.0001,118.1,2026-08-05T12:44:19.778000+00:00,
,B5,30,0.0,1.0,2,0.683632,15.7466,23.0338,0.417552,,,10,64,0.0001,272.8,2026-08-05T12:48:52.631737+00:00,
,MAS,30,100.0,1.0,2,0.82041,18.8971,23.0338,0.58051,,,10,64,0.0001,272.0,2026-08-05T12:53:24.676777+00:00,
,LwF,30,100.0,1.0,2,0.700105,16.1261,23.0338,0.609097,,,10,64,0.0001,587.1,2026-08-05T13:03:11.832056+00:00,
,DERpp,30,100.0,1.0,2,0.763723,17.5914,23.0338,0.608185,,,10,64,0.0001,548.1,2026-08-05T13:12:19.954981+00:00,
,AGEM,30,100.0,1.0,2,0.573645,13.2132,23.0338,0.591529,,,10,64,0.0001,206.9,2026-08-05T13:15:46.880491+00:00,
