run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,1,0.0,0.0,0,68.776192,46.1455,0.671,,0,0.5,10,64,0.0001,10.8,2026-08-04T12:38:45.419478+00:00,PV
,B3,1,0.0,0.0,0,11.716002,7.8609,0.671,,0,0.5,10,64,0.0001,2.9,2026-08-04T12:38:48.304558+00:00,PV
,B4,1,100.0,0.0,0,11.732953,7.8723,0.671,,0,0.5,10,64,0.0001,3.6,2026-08-04T12:38:51.871157+00:00,PV
,B0,7,0.0,0.0,0,469.500733,315.0126,0.671,,0,0.5,10,64,0.0001,13.3,2026-08-04T12:39:05.216818+00:00,PV
,B3,7,0.0,0.0,0,6.213748,4.1691,0.671,,0,0.5,10,64,0.0001,14.0,2026-08-04T12:39:19.196150+00:00,PV
,B4,7,100.0,0.0,0,5.277816,3.5412,0.671,,0,0.5,10,64,0.0001,16.8,2026-08-04T12:39:36.041680+00:00,PV
,B0,30,0.0,0.0,0,782.783041,525.2101,0.671,,0,0.5,10,64,0.0001,64.0,2026-08-04T12:40:40.103131+00:00,PV
,B3,30,0.0,0.0,0,9.394055,6.303,0.671,,0,0.5,10,64,0.0001,51.2,2026-08-04T12:41:31.354765+00:00,PV
,B4,30,100.0,0.0,0,6.858293,4.6016,0.671,,0,0.5,10,64,0.0001,64.9,2026-08-04T12:42:36.261361+00:00,PV
,B0,60,0.0,0.0,0,495.953801,332.7614,0.671,,0,0.5,10,64,0.0001,106.0,2026-08-04T12:44:22.308709+00:00,PV
,B3,60,0.0,0.0,0,6.987036,4.688,0.671,,0,0.5,10,64,0.0001,104.8,2026-08-04T12:46:07.081382+00:00,PV
,B4,60,100.0,0.0,0,13.446664,9.0221,0.671,,0,0.5,10,64,0.0001,109.0,2026-08-04T12:47:56.069541+00:00,PV
,B0,90,0.0,0.0,0,120.17935,80.6346,0.671,,0,0.5,10,64,0.0001,138.9,2026-08-04T12:50:15.001873+00:00,PV
,B3,90,0.0,0.0,0,8.479887,5.6896,0.671,,0,0.5,10,64,0.0001,145.5,2026-08-04T12:52:40.499547+00:00,PV
,B4,90,100.0,0.0,0,11.403005,7.6509,0.671,,0,0.5,10,64,0.0001,159.0,2026-08-04T12:55:19.516997+00:00,PV
,B0,1,0.0,0.0,1,141.250561,94.7724,0.671,,0,0.5,10,64,0.0001,3.0,2026-08-04T12:55:22.545736+00:00,PV
,B3,1,0.0,0.0,1,9.937113,6.6673,0.671,,0,0.5,10,64,0.0001,2.7,2026-08-04T12:55:25.313674+00:00,PV
,B4,1,100.0,0.0,1,9.942404,6.6709,0.671,,0,0.5,10,64,0.0001,3.0,2026-08-04T12:55:28.320924+00:00,PV
,B0,7,0.0,0.0,1,538.673392,361.4242,0.671,,0,0.5,10,64,0.0001,11.3,2026-08-04T12:55:39.599277+00:00,PV
,B3,7,0.0,0.0,1,9.348753,6.2726,0.671,,0,0.5,10,64,0.0001,12.7,2026-08-04T12:55:52.301318+00:00,PV
,B4,7,100.0,0.0,1,8.382013,5.6239,0.671,,0,0.5,10,64,0.0001,15.1,2026-08-04T12:56:07.376533+00:00,PV
,B0,30,0.0,0.0,1,784.512159,526.3703,0.671,,0,0.5,10,64,0.0001,8530.6,2026-08-04T15:18:18.015205+00:00,PV
,B3,30,0.0,0.0,1,10.552758,7.0804,0.671,,0,0.5,10,64,0.0001,42.6,2026-08-04T15:19:00.607835+00:00,PV
,B4,30,100.0,0.0,1,12.004523,8.0545,0.671,,0,0.5,10,64,0.0001,50.2,2026-08-04T15:19:50.799724+00:00,PV
,B0,60,0.0,0.0,1,665.556203,446.5565,0.671,,0,0.5,10,64,0.0001,85.3,2026-08-04T15:21:16.156458+00:00,PV
,B3,60,0.0,0.0,1,7.773982,5.216,0.671,,0,0.5,10,64,0.0001,95.4,2026-08-04T15:22:51.580223+00:00,PV
,B4,60,100.0,0.0,1,8.9993,6.0381,0.671,,0,0.5,10,64,0.0001,127.4,2026-08-04T15:24:59.010759+00:00,PV
,B0,90,0.0,0.0,1,477.61007,320.4536,0.671,,0,0.5,10,64,0.0001,147.8,2026-08-04T15:27:26.845319+00:00,PV
,B3,90,0.0,0.0,1,7.130566,4.7843,0.671,,0,0.5,10,64,0.0001,135.3,2026-08-04T15:29:42.190777+00:00,PV
,B4,90,100.0,0.0,1,9.539023,6.4002,0.671,,0,0.5,10,64,0.0001,160.7,2026-08-04T15:32:22.932273+00:00,PV
,B0,1,0.0,0.0,2,7.293772,4.8938,0.671,,0,0.5,10,64,0.0001,2.6,2026-08-04T15:32:25.532201+00:00,PV
,B3,1,0.0,0.0,2,10.609584,7.1185,0.671,,0,0.5,10,64,0.0001,2.9,2026-08-04T15:32:28.494354+00:00,PV
,B4,1,100.0,0.0,2,10.633069,7.1343,0.671,,0,0.5,10,64,0.0001,3.1,2026-08-04T15:32:31.623025+00:00,PV
,B0,7,0.0,0.0,2,60.733608,40.7494,0.671,,0,0.5,10,64,0.0001,12.7,2026-08-04T15:32:44.346713+00:00,PV
