run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,1,0.0,0.0,0,1.632064,37.5926,23.0338,,0,0.5,10,64,0.0001,16.3,2026-09-04T13:19:30.601066+00:00,
,B3,1,0.0,0.0,0,0.880399,20.2789,23.0338,,0,0.5,10,64,0.0001,5.5,2026-09-04T13:19:36.167947+00:00,
,B4,1,100.0,0.0,0,0.880361,20.278,23.0338,,0,0.5,10,64,0.0001,6.6,2026-09-04T13:19:42.799680+00:00,
,B0,7,0.0,0.0,0,1.169155,26.93,23.0338,,0,0.5,10,64,0.0001,32.6,2026-09-04T13:20:15.469379+00:00,
,B3,7,0.0,0.0,0,0.935308,21.5437,23.0338,,0,0.5,10,64,0.0001,43.0,2026-09-04T13:20:58.489713+00:00,
,B4,7,100.0,0.0,0,0.936646,21.5745,23.0338,,0,0.5,10,64,0.0001,38.2,2026-09-04T13:21:36.740672+00:00,
,B0,30,0.0,0.0,0,0.860042,19.81,23.0338,,0,0.5,10,64,0.0001,154.4,2026-09-04T13:24:11.199849+00:00,
,B3,30,0.0,0.0,0,0.532945,12.2757,23.0338,,0,0.5,10,64,0.0001,123.3,2026-09-04T13:26:14.500314+00:00,
,B4,30,100.0,0.0,0,0.533983,12.2996,23.0338,,0,0.5,10,64,0.0001,147.3,2026-09-04T13:28:41.831195+00:00,
,B0,60,0.0,0.0,0,0.927961,21.3744,23.0338,,0,0.5,10,64,0.0001,334.4,2026-09-04T13:34:16.256552+00:00,
,B3,60,0.0,0.0,0,0.522796,12.042,23.0338,,0,0.5,10,64,0.0001,272.0,2026-09-04T13:38:48.284177+00:00,
,B4,60,100.0,0.0,0,0.528567,12.1749,23.0338,,0,0.5,10,64,0.0001,258.9,2026-09-04T13:43:07.217705+00:00,
,B0,90,0.0,0.0,0,0.858282,19.7695,23.0338,,0,0.5,10,64,0.0001,425.0,2026-09-04T13:50:12.289636+00:00,
,B3,90,0.0,0.0,0,0.543131,12.5103,23.0338,,0,0.5,10,64,0.0001,387.7,2026-09-04T13:56:39.988632+00:00,
,B4,90,100.0,0.0,0,0.538124,12.395,23.0338,,0,0.5,10,64,0.0001,429.9,2026-09-04T14:03:49.867226+00:00,
,B0,1,0.0,0.0,1,1.308451,30.1385,23.0338,,0,0.5,10,64,0.0001,6.9,2026-09-04T14:03:56.849792+00:00,
,B3,1,0.0,0.0,1,0.95085,21.9016,23.0338,,0,0.5,10,64,0.0001,6.9,2026-09-04T14:04:03.759301+00:00,
,B4,1,100.0,0.0,1,0.950826,21.9011,23.0338,,0,0.5,10,64,0.0001,8.6,2026-09-04T14:04:12.421084+00:00,
,B0,7,0.0,0.0,1,1.294124,29.8085,23.0338,,0,0.5,10,64,0.0001,37.0,2026-09-04T14:04:49.396962+00:00,
,B3,7,0.0,0.0,1,0.916179,21.103,23.0338,,0,0.5,10,64,0.0001,35.6,2026-09-04T14:05:25.017793+00:00,
,B4,7,100.0,0.0,1,0.915281,21.0824,23.0338,,0,0.5,10,64,0.0001,40.7,2026-09-04T14:06:05.708790+00:00,
,B0,30,0.0,0.0,1,0.922142,21.2404,23.0338,,0,0.5,10,64,0.0001,155.1,2026-09-04T14:08:40.804779+00:00,
