run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,30,0.0,0.0,0,0.863565,19.8911,23.0338,1.336058,,,10,64,0.0001,105.9,2026-08-05T19:06:48.358461+00:00,
,B3,30,0.0,0.0,0,0.53788,12.3894,23.0338,0.594263,,,10,64,0.0001,114.2,2026-08-05T19:08:42.538602+00:00,
,B1,30,100.0,0.0,0,0.767561,17.6798,23.0338,0.616663,,,10,64,0.0001,109.2,2026-08-05T19:10:31.773567+00:00,
,B4,30,100.0,0.0,0,0.540735,12.4552,23.0338,0.598207,,,10,64,0.0001,113.5,2026-08-05T19:12:25.348951+00:00,
,B5,30,0.0,1.0,0,0.701613,16.1608,23.0338,0.390994,,,10,64,0.0001,203.1,2026-08-05T19:15:48.509651+00:00,
,B0,30,0.0,0.0,1,0.922522,21.2492,23.0338,1.569871,,,10,64,0.0001,108.4,2026-08-05T19:17:36.919224+00:00,
,B3,30,0.0,0.0,1,0.532426,12.2638,23.0338,0.547322,,,10,64,0.0001,110.5,2026-08-05T19:19:27.426441+00:00,
,B1,30,100.0,0.0,1,0.782233,18.0178,23.0338,0.628725,,,10,64,0.0001,115.9,2026-08-05T19:21:23.336189+00:00,
,B4,30,100.0,0.0,1,0.52999,12.2077,23.0338,0.54789,,,10,64,0.0001,113.3,2026-08-05T19:23:16.665222+00:00,
,B5,30,0.0,1.0,1,0.669608,15.4236,23.0338,0.379331,,,10,64,0.0001,202.9,2026-08-05T19:26:39.580863+00:00,
,B0,30,0.0,0.0,2,0.936267,21.5657,23.0338,1.614018,,,10,64,0.0001,108.4,2026-08-05T19:28:28.032919+00:00,
,B3,30,0.0,0.0,2,0.503082,11.5879,23.0338,0.539754,,,10,64,0.0001,103.7,2026-08-05T19:30:11.739931+00:00,
,B1,30,100.0,0.0,2,0.780476,17.9773,23.0338,0.612016,,,10,64,0.0001,109.5,2026-08-05T19:32:01.251303+00:00,
,B4,30,100.0,0.0,2,0.513576,11.8296,23.0338,0.535636,,,10,64,0.0001,123.7,2026-08-05T19:34:05.004491+00:00,
,B5,30,0.0,1.0,2,0.682537,15.7214,23.0338,0.416689,,,10,64,0.0001,220.8,2026-08-05T19:37:45.865856+00:00,
,B0,30,0.0,0.0,3,1.247345,28.731,23.0338,1.556727,,,10,64,0.0001,116.4,2026-08-05T19:39:42.334382+00:00,
,B3,30,0.0,0.0,3,0.503216,11.591,23.0338,0.548014,,,10,64,0.0001,110.8,2026-08-05T19:41:33.180003+00:00,
,B1,30,100.0,0.0,3,0.760009,17.5059,23.0338,0.592059,,,10,64,0.0001,112.3,2026-08-05T19:43:25.512461+00:00,
,B4,30,100.0,0.0,3,0.503728,11.6028,23.0338,0.549457,,,10,64,0.0001,113.8,2026-08-05T19:45:19.327944+00:00,
,B5,30,0.0,1.0,3,0.717508,16.5269,23.0338,0.457632,,,10,64,0.0001,207.6,2026-08-05T19:48:46.952245+00:00,
,B0,30,0.0,0.0,4,1.150403,26.4981,23.0338,1.564928,,,10,64,0.0001,119.2,2026-08-05T19:50:46.179262+00:00,
,B3,30,0.0,0.0,4,0.536081,12.348,23.0338,0.529504,,,10,64,0.0001,105.9,2026-08-05T19:52:32.104116+00:00,
,B1,30,100.0,0.0,4,0.792873,18.2628,23.0338,0.631731,,,10,64,0.0001,108.9,2026-08-05T19:54:21.025846+00:00,
,B4,30,100.0,0.0,4,0.53692,12.3673,23.0338,0.530775,,,10,64,0.0001,110.2,2026-08-05T19:56:11.290623+00:00,
,B5,30,0.0,1.0,4,0.725912,16.7205,23.0338,0.451043,,,10,64,0.0001,203.3,2026-08-05T19:59:34.659901+00:00,
,B0,30,0.0,0.0,5,1.292158,29.7632,23.0338,1.576333,,,10,64,0.0001,112.3,2026-08-05T20:01:26.958039+00:00,
,B3,30,0.0,0.0,5,0.510023,11.7477,23.0338,0.544362,,,10,64,0.0001,106.8,2026-08-05T20:03:13.767941+00:00,
,B1,30,100.0,0.0,5,0.754689,17.3833,23.0338,0.618496,,,10,64,0.0001,119.1,2026-08-05T20:05:12.874637+00:00,
,B4,30,100.0,0.0,5,0.512899,11.814,23.0338,0.550277,,,10,64,0.0001,120.4,2026-08-05T20:07:13.338571+00:00,
,B5,30,0.0,1.0,5,0.702917,16.1908,23.0338,0.416725,,,10,64,0.0001,205.3,2026-08-05T20:10:38.702143+00:00,
,B0,30,0.0,0.0,6,0.972308,22.3959,23.0338,1.5042,,,10,64,0.0001,108.4,2026-08-05T20:12:27.146266+00:00,
,B3,30,0.0,0.0,6,0.525889,12.1132,23.0338,0.609606,,,10,64,0.0001,112.0,2026-08-05T20:14:19.141361+00:00,
,B1,30,100.0,0.0,6,0.769131,17.716,23.0338,0.597022,,,10,64,0.0001,110.1,2026-08-05T20:16:09.283941+00:00,
