run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.540052,12.4394,23.0338,0.598434,,,10,64,0.0001,42.7,2026-09-04T21:17:33.470495+00:00,
,B5,30,0.0,1.0,0,0.700754,16.141,23.0338,0.392505,,,10,64,0.0001,63.3,2026-09-04T21:18:36.786809+00:00,
,MAS,30,100.0,1.0,0,0.807365,18.5966,23.0338,0.565373,,,10,64,0.0001,45.7,2026-09-04T21:19:22.542333+00:00,
,LwF,30,100.0,1.0,0,0.673882,15.522,23.0338,0.592636,,,10,64,0.0001,83.5,2026-09-04T21:20:46.058402+00:00,
,DERpp,30,100.0,1.0,0,0.800387,18.4359,23.0338,0.658848,,,10,64,0.0001,99.5,2026-09-04T21:22:25.600316+00:00,
,AGEM,30,100.0,1.0,0,0.531862,12.2508,23.0338,0.5146,,,10,64,0.0001,57.4,2026-09-04T21:23:22.998344+00:00,
,B3,30,0.0,0.0,1,0.531819,12.2498,23.0338,0.548156,,,10,64,0.0001,40.2,2026-09-04T21:24:03.216921+00:00,
,B5,30,0.0,1.0,1,0.661838,15.2446,23.0338,0.378458,,,10,64,0.0001,66.1,2026-09-04T21:25:09.384030+00:00,
,MAS,30,100.0,1.0,1,0.816942,18.8172,23.0338,0.579859,,,10,64,0.0001,48.3,2026-09-04T21:25:57.656254+00:00,
,LwF,30,100.0,1.0,1,0.677524,15.6059,23.0338,0.56051,,,10,64,0.0001,95.0,2026-09-04T21:27:32.698572+00:00,
,DERpp,30,100.0,1.0,1,0.783955,18.0574,23.0338,0.594035,,,10,64,0.0001,125.1,2026-09-04T21:29:37.846498+00:00,
,AGEM,30,100.0,1.0,1,0.548671,12.638,23.0338,0.535564,,,10,64,0.0001,78.2,2026-09-04T21:30:56.095335+00:00,
,B3,30,0.0,0.0,2,0.500796,11.5352,23.0338,0.541214,,,10,64,0.0001,47.9,2026-09-04T21:31:43.980995+00:00,
,B5,30,0.0,1.0,2,0.684397,15.7642,23.0338,0.417503,,,10,64,0.0001,81.3,2026-09-04T21:33:05.279106+00:00,
,MAS,30,100.0,1.0,2,0.820402,18.8969,23.0338,0.580499,,,10,64,0.0001,56.4,2026-09-04T21:34:01.688879+00:00,
,LwF,30,100.0,1.0,2,0.700888,16.1441,23.0338,0.607447,,,10,64,0.0001,91.6,2026-09-04T21:35:33.307068+00:00,
,DERpp,30,100.0,1.0,2,0.761769,17.5464,23.0338,0.607365,,,10,64,0.0001,126.1,2026-09-04T21:37:39.463560+00:00,
,AGEM,30,100.0,1.0,2,0.573452,13.2088,23.0338,0.590594,,,10,64,0.0001,75.6,2026-09-04T21:38:55.084109+00:00,
,B3,30,0.0,0.0,3,0.503445,11.5962,23.0338,0.555492,,,10,64,0.0001,43.3,2026-09-04T21:39:38.435051+00:00,
,B5,30,0.0,1.0,3,0.720557,16.5971,23.0338,0.458739,,,10,64,0.0001,72.7,2026-09-04T21:40:51.176087+00:00,
,MAS,30,100.0,1.0,3,0.770326,17.7435,23.0338,0.529644,,,10,64,0.0001,41.9,2026-09-04T21:41:33.067204+00:00,
