run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.113281,,,0.234592,,,10,64,0.0001,,2026-09-08T12:43:48.035894+00:00,B3_warm
,B5,30,0.0,1.0,0,0.134566,,,0.213915,,,10,64,0.0001,,2026-09-08T12:48:35.694633+00:00,B5_replay
,V1,30,1.0,0.0,0,0.118514,,,0.198655,,,10,64,0.0001,,2026-09-08T12:51:04.294416+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,0,0.126541,,,0.193276,,,10,64,0.0001,,2026-09-08T12:53:31.042025+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,0,0.134745,,,0.19203,,,10,64,0.0001,,2026-09-08T12:56:15.566678+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,0,0.11761,,,0.198253,,,10,64,0.0001,,2026-09-08T12:58:59.569141+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,0,0.126702,,,0.200941,,,10,64,0.0001,,2026-09-08T13:01:46.689713+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,0,0.130815,,,0.197992,,,10,64,0.0001,,2026-09-08T13:04:41.395526+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,0,0.138826,,,0.198578,,,10,64,0.0001,,2026-09-08T13:10:31.491447+00:00,V3_hybrid
,MAS,30,,,0,0.136253,,,0.192481,,,10,64,0.0001,,2026-09-08T13:13:37.447692+00:00,MAS
,LwF,30,,,0,0.161775,,,0.279963,,,10,64,0.0001,,2026-09-08T13:21:39.031796+00:00,LwF
,DERpp,30,,,0,0.15411,,,0.240166,,,10,64,0.0001,,2026-09-08T13:32:38.976202+00:00,DERpp
,AGEM,30,,,0,0.122529,,,0.221262,,,10,64,0.0001,,2026-09-08T13:38:10.489993+00:00,AGEM
,B3,30,0.0,0.0,1,0.123706,,,0.231098,,,10,64,0.0001,,2026-09-08T13:41:10.348584+00:00,B3_warm
,B5,30,0.0,1.0,1,0.124104,,,0.19876,,,10,64,0.0001,,2026-09-08T13:46:54.340764+00:00,B5_replay
,V1,30,1.0,0.0,1,0.123657,,,0.200291,,,10,64,0.0001,,2026-09-08T13:49:38.131746+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,1,0.132674,,,0.196289,,,10,64,0.0001,,2026-09-08T13:52:21.954421+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,1,0.132155,,,0.190764,,,10,64,0.0001,,2026-09-08T13:55:05.426980+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,1,0.126446,,,0.200224,,,10,64,0.0001,,2026-09-08T13:57:39.235795+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,1,0.130469,,,0.202068,,,10,64,0.0001,,2026-09-08T14:00:17.676072+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,1,0.13347,,,0.199542,,,10,64,0.0001,,2026-09-08T14:03:02.373124+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,1,0.13656,,,0.198032,,,10,64,0.0001,,2026-09-08T14:08:29.081890+00:00,V3_hybrid
,MAS,30,,,1,0.138477,,,0.193073,,,10,64,0.0001,,2026-09-08T14:11:06.512808+00:00,MAS
,LwF,30,,,1,0.188726,,,0.289784,,,10,64,0.0001,,2026-09-08T14:18:47.864604+00:00,LwF
,DERpp,30,,,1,0.162201,,,0.255643,,,10,64,0.0001,,2026-09-08T14:29:05.910318+00:00,DERpp
,AGEM,30,,,1,0.111612,,,0.21848,,,10,64,0.0001,,2026-09-08T14:34:15.504077+00:00,AGEM
,B3,30,0.0,0.0,2,0.110813,,,0.244784,,,10,64,0.0001,,2026-09-08T14:36:38.097345+00:00,B3_warm
,B5,30,0.0,1.0,2,0.127271,,,0.197585,,,10,64,0.0001,,2026-09-08T14:41:41.225300+00:00,B5_replay
,V1,30,1.0,0.0,2,0.118226,,,0.195368,,,10,64,0.0001,,2026-09-08T14:44:23.765814+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,2,0.127721,,,0.190001,,,10,64,0.0001,,2026-09-08T14:47:04.609564+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,2,0.13853,,,0.196814,,,10,64,0.0001,,2026-09-08T14:49:38.852899+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,2,0.113386,,,0.199342,,,10,64,0.0001,,2026-09-08T14:52:05.413163+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,2,0.124498,,,0.199401,,,10,64,0.0001,,2026-09-08T14:54:34.218384+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,2,0.125581,,,0.194731,,,10,64,0.0001,,2026-09-08T14:57:10.408672+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,2,0.141177,,,0.198073,,,10,64,0.0001,,2026-09-08T15:02:46.559364+00:00,V3_hybrid
,MAS,30,,,2,0.137288,,,0.192621,,,10,64,0.0001,,2026-09-08T17:11:13.526043+00:00,MAS
