run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.395684,,,0.591813,,,10,64,0.0001,,2026-09-10T09:28:35.629195+00:00,B3_warm
,B5,30,0.0,1.0,0,0.321246,,,0.531927,,,10,64,0.0001,,2026-09-10T09:29:53.287671+00:00,B5_replay
,V1,30,1.0,0.0,0,0.462221,,,0.636994,,,10,64,0.0001,,2026-09-10T09:31:00.111338+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,0,0.473507,,,0.668717,,,10,64,0.0001,,2026-09-10T09:32:04.675604+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,0,0.482191,,,0.699457,,,10,64,0.0001,,2026-09-10T09:33:08.755679+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,0,0.445437,,,0.642397,,,10,64,0.0001,,2026-09-10T09:34:02.787105+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,0,0.460221,,,0.651718,,,10,64,0.0001,,2026-09-10T09:34:57.436747+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,0,0.472932,,,0.693511,,,10,64,0.0001,,2026-09-10T09:35:51.741061+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,0,0.32811,,,0.563915,,,10,64,0.0001,,2026-09-10T09:37:24.800825+00:00,V3_hybrid
,MAS,30,,,0,0.508236,,,0.731261,,,10,64,0.0001,,2026-09-10T09:38:29.039452+00:00,MAS
,LwF,30,,,0,0.373786,,,0.683328,,,10,64,0.0001,,2026-09-10T09:40:12.977561+00:00,LwF
,DERpp,30,,,0,0.322319,,,0.530816,,,10,64,0.0001,,2026-09-10T09:42:32.347064+00:00,DERpp
,AGEM,30,,,0,0.322028,,,0.540046,,,10,64,0.0001,,2026-09-10T09:43:56.463721+00:00,AGEM
,B3,30,0.0,0.0,1,0.40358,,,0.654973,,,10,64,0.0001,,2026-09-10T09:44:53.181955+00:00,B3_warm
,B5,30,0.0,1.0,1,0.321612,,,0.51159,,,10,64,0.0001,,2026-09-10T09:46:16.040378+00:00,B5_replay
,V1,30,1.0,0.0,1,0.488368,,,0.631064,,,10,64,0.0001,,2026-09-10T09:47:20.490191+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,1,0.476348,,,0.678833,,,10,64,0.0001,,2026-09-10T09:48:27.331609+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,1,0.468794,,,0.722816,,,10,64,0.0001,,2026-09-10T09:49:40.193488+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,1,0.472539,,,0.633087,,,10,64,0.0001,,2026-09-10T09:50:43.678475+00:00,V2_perlayer_l1
