condition,seed,raw,gauged,a,target
reference_no_adaptation,-1,1.254238,1.258413,1.1392,
B3_warm,0,1.260522,1.261621,1.0434,0.661695
MAS,0,1.257565,1.260406,1.1763,0.894737
B5_replay,0,0.933524,0.895178,1.3514,0.95267
B3_warm,1,1.264796,1.264503,0.9928,0.67879
MAS,1,1.259767,1.26195,1.1838,0.89968
B5_replay,1,0.881504,0.890393,1.1461,1.166405
B3_warm,2,1.252787,1.254474,1.0447,0.645883
MAS,2,1.262921,1.265367,1.1791,0.901987
B5_replay,2,0.92123,0.894583,1.3302,1.025806
B3_warm,3,1.251077,1.251196,1.0833,0.656073
MAS,3,1.262929,1.263649,1.2048,0.898863
B5_replay,3,0.919579,0.884662,1.3525,1.102737
B3_warm,4,1.268331,1.267768,0.9877,0.671998
MAS,4,1.259201,1.262265,1.1614,0.885126
B5_replay,4,0.899223,0.890883,1.2488,1.005327
B3_warm,5,1.254844,1.254691,0.9941,0.64177
MAS,5,1.260093,1.261305,1.196,0.894501
B5_replay,5,0.913518,0.882877,1.316,0.954809
B3_warm,6,1.265129,1.265707,1.0195,0.638118
MAS,6,1.263391,1.265276,1.1913,0.885129
B5_replay,6,0.917539,0.882254,1.3225,1.027487
B3_warm,7,1.258472,1.256756,0.9735,0.627617
MAS,7,1.256293,1.257449,1.1958,0.892003
B5_replay,7,0.910714,0.891862,1.3178,1.06792
B3_warm,8,1.250653,1.251313,1.0239,0.614261
MAS,8,1.262422,1.265075,1.1779,0.895535
B5_replay,8,0.930028,0.892907,1.3904,1.026421
B3_warm,9,1.268665,1.266548,0.9703,0.631307
MAS,9,1.258991,1.260704,1.191,0.897553
B5_replay,9,0.912202,0.882033,1.3315,1.046704
