seed,day,condition,objective,mae
0,0,B3_warm,1247.8198,46.6938
0,1,B3_warm,1410.3109,48.9082
0,2,B3_warm,786.5317,32.5761
0,3,B3_warm,1124.0615,38.9068
0,4,B3_warm,1345.1839,41.3631
0,5,B3_warm,1438.8379,49.9043
0,6,B3_warm,1089.0306,47.8165
0,0,MAS,1252.1758,45.8294
0,1,MAS,1374.5732,49.5892
0,2,MAS,779.7766,32.7227
0,3,MAS,1080.9031,36.6625
0,4,MAS,1336.705,42.2009
0,5,MAS,1419.3177,49.3346
0,6,MAS,1053.0002,45.6196
0,0,B5_replay,1250.3113,33.6604
0,1,B5_replay,1423.2269,34.7589
0,2,B5_replay,780.4411,27.0089
0,3,B5_replay,1079.7805,33.0461
0,4,B5_replay,1330.2341,30.4938
0,5,B5_replay,1458.0387,36.5399
0,6,B5_replay,1042.6794,30.8925
1,0,B3_warm,1248.5459,46.1573
1,1,B3_warm,1410.5332,49.1998
1,2,B3_warm,786.3233,32.8828
1,3,B3_warm,1126.2652,38.8297
1,4,B3_warm,1347.4975,42.0513
1,5,B3_warm,1446.5326,49.4355
1,6,B3_warm,1089.0531,48.0322
1,0,MAS,1253.7094,45.9634
1,1,MAS,1374.9105,49.4774
1,2,MAS,784.0653,32.7157
1,3,MAS,1082.2694,36.6079
1,4,MAS,1337.2642,42.3258
1,5,MAS,1418.7769,49.4335
1,6,MAS,1054.8886,45.7026
1,0,B5_replay,1252.4163,32.3531
1,1,B5_replay,1420.0997,34.1172
1,2,B5_replay,784.5,31.1442
1,3,B5_replay,1074.0479,33.9214
1,4,B5_replay,1330.2358,28.6073
1,5,B5_replay,1446.8534,34.2186
1,6,B5_replay,1046.3217,31.3775
2,0,B3_warm,1250.1272,46.1587
2,1,B3_warm,1414.3199,48.97
2,2,B3_warm,786.8597,32.5643
2,3,B3_warm,1119.8664,38.1901
2,4,B3_warm,1346.4285,41.5317
2,5,B3_warm,1434.1343,49.6034
2,6,B3_warm,1082.1255,47.7774
2,0,MAS,1253.2254,46.0679
2,1,MAS,1373.9353,49.6204
2,2,MAS,779.0398,32.7136
2,3,MAS,1082.3791,36.7194
2,4,MAS,1337.9169,42.5357
2,5,MAS,1419.0356,49.5951
2,6,MAS,1048.1755,45.648
2,0,B5_replay,1252.7309,33.445
2,1,B5_replay,1423.6487,34.9021
2,2,B5_replay,783.4521,28.15
2,3,B5_replay,1074.1477,33.3439
2,4,B5_replay,1327.5913,29.9924
2,5,B5_replay,1456.673,36.6337
2,6,B5_replay,1046.1946,29.7296
3,0,B3_warm,1247.2769,45.7869
3,1,B3_warm,1404.2725,48.144
3,2,B3_warm,792.0713,32.4692
3,3,B3_warm,1124.6605,38.6765
3,4,B3_warm,1343.3322,41.6166
3,5,B3_warm,1436.1023,49.038
3,6,B3_warm,1089.3554,47.1979
3,0,MAS,1253.3944,46.1702
3,1,MAS,1373.2782,49.3104
3,2,MAS,779.4299,32.5726
3,3,MAS,1088.1756,36.8091
3,4,MAS,1339.2234,42.1799
3,5,MAS,1416.4655,49.5539
3,6,MAS,1058.2456,45.6919
3,0,B5_replay,1250.3112,33.7974
3,1,B5_replay,1423.6486,35.7163
3,2,B5_replay,782.9699,26.8114
3,3,B5_replay,1078.6935,32.5211
3,4,B5_replay,1327.3345,30.6865
3,5,B5_replay,1453.5503,36.0422
3,6,B5_replay,1040.8298,30.7712
4,0,B3_warm,1248.5802,46.0811
4,1,B3_warm,1404.9464,49.2699
4,2,B3_warm,788.0815,32.7933
4,3,B3_warm,1125.7278,38.6658
4,4,B3_warm,1349.3737,42.3283
4,5,B3_warm,1444.5932,49.6801
4,6,B3_warm,1086.8373,48.2384
4,0,MAS,1253.6309,46.0784
4,1,MAS,1373.1917,49.6231
4,2,MAS,780.7328,32.5618
4,3,MAS,1088.7276,36.6874
4,4,MAS,1340.5306,42.2933
4,5,MAS,1423.0409,49.3985
4,6,MAS,1066.1432,45.9041
4,0,B5_replay,1253.6765,32.5125
4,1,B5_replay,1422.9939,35.0461
4,2,B5_replay,783.1033,28.9642
4,3,B5_replay,1079.5753,33.6204
4,4,B5_replay,1330.2348,29.4762
4,5,B5_replay,1453.0589,35.1143
4,6,B5_replay,1039.5857,30.532
