candidate,day,realised_base_eur,realised_opt_eur,saving_eur,reduction_pct
production_as_served,0,131.1594,130.5366,0.6228,0.4748
production_as_served,1,94.6115,94.1645,0.4471,0.4725
production_as_served,2,83.2104,84.474,-1.2635,-1.5185
production_as_served,3,116.1189,118.4154,-2.2965,-1.9777
production_as_served,4,172.6345,167.8519,4.7826,2.7704
production_as_served,5,168.1487,166.8302,1.3186,0.7842
production_as_served,6,126.0909,131.4809,-5.3899,-4.2746
production_as_fitted,0,131.1594,124.8989,6.2606,4.7732
production_as_fitted,1,94.6115,91.494,3.1175,3.2951
production_as_fitted,2,83.2104,81.2462,1.9643,2.3606
production_as_fitted,3,116.1189,114.8035,1.3154,1.1328
production_as_fitted,4,172.6345,140.6346,32.0,18.5362
production_as_fitted,5,168.1487,164.3655,3.7832,2.2499
production_as_fitted,6,126.0909,120.1734,5.9175,4.693
causal_full_warm_s0,0,131.1594,125.3304,5.829,4.4442
causal_full_warm_s0,1,94.6115,96.4084,-1.7968,-1.8992
causal_full_warm_s0,2,83.2104,85.2177,-2.0073,-2.4123
causal_full_warm_s0,3,116.1189,117.3342,-1.2153,-1.0466
causal_full_warm_s0,4,172.6345,142.52,30.1145,17.4441
causal_full_warm_s0,5,168.1487,163.3289,4.8199,2.8664
causal_full_warm_s0,6,126.0909,117.6754,8.4155,6.6742
causal_full_warm_s1,0,131.1594,124.7979,6.3616,4.8503
causal_full_warm_s1,1,94.6115,96.5574,-1.9459,-2.0567
causal_full_warm_s1,2,83.2104,84.7436,-1.5332,-1.8425
causal_full_warm_s1,3,116.1189,117.2456,-1.1268,-0.9703
causal_full_warm_s1,4,172.6345,140.1972,32.4373,18.7896
causal_full_warm_s1,5,168.1487,162.7235,5.4252,3.2264
causal_full_warm_s1,6,126.0909,115.5779,10.513,8.3377
causal_d120_e12_SIGNAL,0,131.1594,124.6952,6.4643,4.9285
causal_d120_e12_SIGNAL,1,94.6115,96.6318,-2.0203,-2.1353
causal_d120_e12_SIGNAL,2,83.2104,86.186,-2.9756,-3.576
causal_d120_e12_SIGNAL,3,116.1189,118.7295,-2.6106,-2.2482
causal_d120_e12_SIGNAL,4,172.6345,150.2339,22.4006,12.9757
causal_d120_e12_SIGNAL,5,168.1487,166.5982,1.5505,0.9221
causal_d120_e12_SIGNAL,6,126.0909,124.2674,1.8235,1.4462
