candidate,feature_mode,staleness_h,slots_padded,pad_fraction,nrmse,mae,bias_kw,pred_mean,true_mean,persistence
production,serve,0.0,0,0.0,1.3891,45.411,-42.4,14.52,56.92,0.9972
production,serve,9.2,37,0.0551,1.4017,45.758,-42.77,14.15,56.92,0.9972
production,serve,12.4,50,0.0744,1.4263,46.487,-43.47,13.45,56.92,0.9972
production,serve,21.1,84,0.125,1.4302,46.587,-43.7,13.21,56.92,0.9972
production,serve,33.0,132,0.1964,1.4508,47.337,-44.78,12.14,56.92,0.9972
causal_s1,causal,0.0,0,0.0,0.8495,29.097,-4.22,52.7,56.92,0.9972
causal_s1,causal,9.2,37,0.0551,0.8942,30.099,-6.28,50.64,56.92,0.9972
causal_s1,causal,12.4,50,0.0744,0.9458,31.218,-8.36,48.56,56.92,0.9972
causal_s1,causal,21.1,84,0.125,0.9577,31.468,-9.4,47.52,56.92,0.9972
causal_s1,causal,33.0,132,0.1964,1.032,33.793,-12.71,44.21,56.92,0.9972
causal_s0,causal,0.0,0,0.0,0.8644,30.15,-5.54,51.38,56.92,0.9972
causal_s0,causal,9.2,37,0.0551,0.9053,31.101,-7.54,49.38,56.92,0.9972
causal_s0,causal,12.4,50,0.0744,0.9593,32.377,-9.33,47.59,56.92,0.9972
causal_s0,causal,21.1,84,0.125,0.9722,32.689,-10.23,46.69,56.92,0.9972
causal_s0,causal,33.0,132,0.1964,1.0479,35.014,-13.63,43.29,56.92,0.9972
