condition,seed,raw,gauged,a,target
reference_no_adaptation,-1,0.547795,0.398431,1.3865,
B3_warm,0,0.600368,0.414403,1.3854,0.541451
MAS,0,0.565495,0.377528,1.4271,0.807489
B5_replay,0,0.390787,0.309902,1.2166,0.696717
B3_warm,1,0.548055,0.42127,1.2863,0.533189
MAS,1,0.579943,0.381567,1.4462,0.816566
B5_replay,1,0.377651,0.320508,1.1988,0.659828
B3_warm,2,0.542903,0.398832,1.3209,0.511817
MAS,2,0.580757,0.377302,1.4494,0.820489
B5_replay,2,0.417198,0.352945,1.2244,0.684885
B3_warm,3,0.555042,0.404683,1.3251,0.50279
MAS,3,0.529481,0.372882,1.3813,0.770282
B5_replay,3,0.45883,0.36307,1.2738,0.714061
B3_warm,4,0.530155,0.437161,1.2485,0.539034
MAS,4,0.48135,0.366125,1.3147,0.734316
B5_replay,4,0.451174,0.314635,1.2962,0.723798
B3_warm,5,0.550042,0.446203,1.2543,0.515754
MAS,5,0.590773,0.383361,1.4631,0.816986
B5_replay,5,0.417251,0.321868,1.2371,0.712356
B3_warm,6,0.624985,0.428402,1.4124,0.531661
MAS,6,0.595863,0.372197,1.4758,0.814126
B5_replay,6,0.441408,0.31702,1.2718,0.742547
B3_warm,7,0.530551,0.435788,1.25,0.477492
MAS,7,0.58677,0.379007,1.4615,0.813599
B5_replay,7,0.46276,0.358835,1.3034,0.723211
B3_warm,8,0.545577,0.421789,1.2941,0.489711
MAS,8,0.569632,0.376472,1.4289,0.810382
B5_replay,8,0.419778,0.335609,1.2447,0.642497
B3_warm,9,0.54636,0.422356,1.2936,0.496148
MAS,9,0.58174,0.378161,1.4497,0.817754
B5_replay,9,0.46102,0.339875,1.302,0.694586
