condition,seed,eur_per_day,retention_nrmse
oracle_demand,-1,137.9005,
persistence,-1,137.9257,
reference_no_adaptation,-1,147.2775,
B3_warm,0,146.4277,0.600693
MAS,0,148.4128,0.565006
B5_replay,0,142.7803,0.390969
B3_warm,1,144.1816,0.546936
MAS,1,148.9844,0.579618
B5_replay,1,141.4042,0.379142
B3_warm,2,144.5686,0.538062
MAS,2,148.9489,0.580746
B5_replay,2,142.6878,0.416981
B3_warm,3,144.7639,0.554448
MAS,3,146.5427,0.529085
B5_replay,3,143.948,0.45863
B3_warm,4,142.9163,0.529228
MAS,4,144.467,0.48018
B5_replay,4,144.8807,0.450428
B3_warm,5,143.5258,0.548912
MAS,5,149.1971,0.590779
B5_replay,5,143.2117,0.416231
B3_warm,6,146.3916,0.613924
MAS,6,149.5493,0.595819
B5_replay,6,144.6646,0.441326
B3_warm,7,143.4942,0.537166
MAS,7,149.0639,0.586671
B5_replay,7,143.9828,0.460521
B3_warm,8,143.985,0.553519
MAS,8,148.8413,0.56959
B5_replay,8,143.0447,0.42061
B3_warm,9,144.1882,0.547126
MAS,9,148.9848,0.58142
B5_replay,9,144.6783,0.460601
