condition,seed,objective,import_kwh,export_kwh,retention_nrmse
oracle_demand,-1,1165.492,1030.4,67.54,
persistence,-1,1174.047,1033.26,70.4,
reference_no_adaptation,-1,1183.569,1036.43,73.57,
B3_warm,0,1191.75,1039.16,76.3,0.59877
MAS,0,1177.316,1034.35,71.49,0.565392
B5_replay,0,1195.507,1040.41,77.55,0.390492
B3_warm,1,1196.116,1040.61,77.75,0.545069
MAS,1,1179.047,1034.92,72.06,0.579856
B5_replay,1,1194.213,1039.98,77.12,0.377953
B3_warm,2,1190.55,1038.76,75.9,0.546438
MAS,2,1178.803,1034.84,71.98,0.580501
B5_replay,2,1197.784,1041.17,78.31,0.415432
B3_warm,3,1193.786,1039.84,76.97,0.553775
MAS,3,1184.468,1036.73,73.87,0.529666
B5_replay,3,1197.348,1041.02,78.16,0.457785
B3_warm,4,1194.273,1040.0,77.14,0.533063
MAS,4,1187.137,1037.62,74.76,0.480163
B5_replay,4,1200.12,1041.95,79.09,0.449307
