seed,day,condition,objective,mae
0,0,B3_warm,1247.5227,25.0478
0,1,B3_warm,1397.8335,23.7489
0,2,B3_warm,791.0654,17.7851
0,3,B3_warm,1107.1484,20.5764
0,4,B3_warm,1321.4112,20.47
0,5,B3_warm,1428.2818,22.3381
0,6,B3_warm,1050.1835,22.5234
0,0,MAS,1253.8869,23.4646
0,1,MAS,1368.0016,20.6419
0,2,MAS,775.375,13.5723
0,3,MAS,1079.8978,16.1375
0,4,MAS,1311.9046,17.5574
0,5,MAS,1410.5252,24.1947
0,6,MAS,1041.9353,20.7696
0,0,B5_replay,1247.8506,14.1725
0,1,B5_replay,1411.7639,15.3529
0,2,B5_replay,785.4131,11.2042
0,3,B5_replay,1091.4197,14.0739
0,4,B5_replay,1319.9091,15.0603
0,5,B5_replay,1458.1279,19.7471
0,6,B5_replay,1051.9684,15.04
1,0,B3_warm,1247.5287,22.7631
1,1,B3_warm,1411.9503,22.3222
1,2,B3_warm,787.1887,16.9718
1,3,B3_warm,1112.0686,19.0902
1,4,B3_warm,1323.2921,18.9532
1,5,B3_warm,1439.6255,19.8251
1,6,B3_warm,1050.7641,20.8506
1,0,MAS,1252.648,24.0027
1,1,MAS,1368.9478,21.241
1,2,MAS,781.4954,14.2288
1,3,MAS,1081.3117,16.5289
1,4,MAS,1312.5642,18.3106
1,5,MAS,1411.2046,24.9072
1,6,MAS,1045.0417,21.3783
1,0,B5_replay,1247.8506,14.4943
1,1,B5_replay,1419.2643,15.9326
1,2,B5_replay,781.4252,10.8196
1,3,B5_replay,1089.5266,14.1829
1,4,B5_replay,1319.085,14.6213
1,5,B5_replay,1452.0723,17.5046
1,6,B5_replay,1049.0317,13.8552
2,0,B3_warm,1247.8508,22.6626
2,1,B3_warm,1401.6557,22.0435
2,2,B3_warm,790.5884,16.614
2,3,B3_warm,1100.3026,18.2513
2,4,B3_warm,1320.0564,19.1369
2,5,B3_warm,1425.8109,19.7099
2,6,B3_warm,1050.2928,20.5881
2,0,MAS,1251.7779,23.9465
2,1,MAS,1366.4005,21.1845
2,2,MAS,774.3455,13.9707
2,3,MAS,1085.5751,16.6564
2,4,MAS,1314.8727,18.2492
2,5,MAS,1412.6996,25.1749
2,6,MAS,1045.9528,21.5165
2,0,B5_replay,1247.1409,16.1983
2,1,B5_replay,1419.9526,15.2379
2,2,B5_replay,784.3908,10.8833
2,3,B5_replay,1095.5993,13.9136
2,4,B5_replay,1318.0498,15.8678
2,5,B5_replay,1459.4188,20.6316
2,6,B5_replay,1056.348,15.8355
3,0,B3_warm,1249.169,23.2288
3,1,B3_warm,1406.3018,22.3596
3,2,B3_warm,787.0321,16.8002
3,3,B3_warm,1109.9389,19.6255
3,4,B3_warm,1322.7397,19.3472
3,5,B3_warm,1432.0103,20.673
3,6,B3_warm,1049.5989,21.4538
3,0,MAS,1247.4781,22.1892
3,1,MAS,1373.6049,19.5692
3,2,MAS,780.1095,12.6792
3,3,MAS,1088.6617,14.8718
3,4,MAS,1323.0258,15.4507
3,5,MAS,1414.1671,22.3897
3,6,MAS,1064.3008,20.1232
3,0,B5_replay,1246.1608,17.932
3,1,B5_replay,1413.801,16.9548
3,2,B5_replay,783.8329,10.9201
3,3,B5_replay,1095.5373,15.5255
3,4,B5_replay,1316.6483,16.9334
3,5,B5_replay,1458.4394,21.5458
3,6,B5_replay,1067.3932,16.3212
4,0,B3_warm,1248.3786,22.3052
4,1,B3_warm,1405.447,22.5376
4,2,B3_warm,787.9485,16.5509
4,3,B3_warm,1103.0549,18.0282
4,4,B3_warm,1326.1146,18.6076
4,5,B3_warm,1435.0897,19.4723
4,6,B3_warm,1050.0172,20.4709
4,0,MAS,1247.4704,20.6998
4,1,MAS,1386.6985,18.0132
4,2,MAS,784.4855,11.284
4,3,MAS,1084.7962,13.5079
4,4,MAS,1323.8883,14.6027
4,5,MAS,1417.1528,19.4318
4,6,MAS,1065.3906,18.3932
4,0,B5_replay,1246.3674,17.4535
4,1,B5_replay,1411.0404,17.3148
4,2,B5_replay,790.0332,12.4761
4,3,B5_replay,1114.094,16.196
4,4,B5_replay,1319.5257,17.0165
4,5,B5_replay,1457.2068,21.3593
4,6,B5_replay,1061.8038,16.7094
