day,strategy,objective,import_kwh,export_kwh,euros
0,unmanaged,1276.375,1211.475,32.45,138.1272
0,mpc_perfect,1251.577,1203.209,24.184,136.9782
0,mpc_production,1269.952,1209.334,30.309,136.7995
1,unmanaged,1209.6,933.75,137.925,108.241
1,mpc_perfect,1111.679,901.11,105.285,104.2478
1,mpc_production,1120.788,904.146,108.321,104.2431
2,unmanaged,910.95,910.95,0.0,103.1578
2,mpc_perfect,910.95,910.95,0.0,103.1578
2,mpc_production,922.663,914.854,3.904,103.1701
3,unmanaged,605.35,507.55,48.9,62.8653
3,mpc_perfect,512.098,476.466,17.816,59.1265
3,mpc_production,564.862,494.054,35.404,61.3261
4,unmanaged,1045.825,978.925,33.45,162.0967
4,mpc_perfect,1011.297,967.416,21.941,160.804
4,mpc_production,1027.126,972.692,27.217,161.8642
5,unmanaged,1654.075,1654.075,0.0,216.4105
5,mpc_perfect,1654.075,1654.075,0.0,216.4105
5,mpc_production,1654.075,1654.075,0.0,216.4105
6,unmanaged,1124.875,1099.925,12.475,167.2395
6,mpc_perfect,1102.921,1092.607,5.157,166.6481
6,mpc_production,1111.677,1095.526,8.076,166.9465
7,unmanaged,1201.45,1201.45,0.0,183.6967
7,mpc_perfect,1201.45,1201.45,0.0,183.6967
7,mpc_production,1201.45,1201.45,0.0,184.005
8,unmanaged,1022.75,1022.75,0.0,123.7445
8,mpc_perfect,1022.75,1022.75,0.0,123.7445
8,mpc_production,1022.75,1022.75,0.0,123.7635
9,unmanaged,1088.975,1078.825,5.075,132.1106
9,mpc_perfect,1078.897,1075.466,1.716,131.7684
9,mpc_production,1083.936,1077.145,3.395,131.9399
10,unmanaged,1711.775,1694.275,8.75,192.1498
10,mpc_perfect,1700.747,1690.599,5.074,191.7058
10,mpc_production,1703.281,1691.444,5.919,191.7993
11,unmanaged,1100.275,986.375,56.95,110.366
11,mpc_perfect,1039.323,966.058,36.633,108.3501
11,mpc_production,1084.76,981.203,51.778,109.899
12,unmanaged,802.65,796.45,3.1,80.4811
12,mpc_perfect,798.805,795.168,1.818,80.3196
12,mpc_production,801.191,795.964,2.614,80.5061
13,unmanaged,1146.175,1138.075,4.05,115.081
13,mpc_perfect,1136.097,1134.716,0.691,114.9507
13,mpc_production,1140.451,1136.167,2.142,115.1361
14,unmanaged,1254.825,1217.225,18.8,147.9009
14,mpc_perfect,1237.127,1211.326,12.901,147.2802
14,mpc_production,1253.286,1216.712,18.287,147.9255
15,unmanaged,1439.8,999.35,220.225,115.8821
15,mpc_perfect,1367.83,975.36,196.235,112.8904
15,mpc_production,1365.809,974.686,195.561,112.4538
16,unmanaged,784.5,730.7,26.9,85.3974
16,mpc_perfect,757.969,721.857,18.056,84.3505
16,mpc_production,786.644,731.415,27.615,85.1655
17,unmanaged,1075.95,1000.4,37.775,124.6599
17,mpc_perfect,1055.022,993.424,30.799,123.6611
17,mpc_production,1087.607,1004.286,41.661,124.8595
18,unmanaged,1364.2,1155.9,104.15,140.7175
18,mpc_perfect,1301.783,1135.094,83.344,138.4003
18,mpc_production,1313.746,1139.082,87.332,138.8706
19,unmanaged,1464.45,1292.0,86.225,212.2536
19,mpc_perfect,1420.812,1277.454,71.679,210.291
19,mpc_production,1414.178,1275.243,69.468,209.9312
20,unmanaged,1063.975,913.675,75.15,122.6588
20,mpc_perfect,1017.899,898.316,59.791,120.6941
20,mpc_production,1063.783,913.611,75.086,122.609
