day,prices,planned_base,planned_opt,planned_savings,realised_base,realised_opt,realised_savings
0,synthetic,49.4082,9.8299,39.5783,144.439,106.8584,37.5806
0,real,46.576,39.5768,6.9992,134.9707,129.5444,5.4263
1,synthetic,16.6523,-11.781,28.4333,75.24,47.2225,28.0175
1,real,28.5746,23.8807,4.6939,93.5021,89.3439,4.1582
2,synthetic,52.8597,7.118,45.7417,117.2615,72.8222,44.4393
2,real,42.8174,40.1619,2.6555,103.1578,101.4483,1.7095
3,synthetic,67.139,19.9442,47.1947,68.3675,28.1902,40.1773
3,real,57.8627,52.5897,5.273,57.21,54.3764,2.8336
4,synthetic,119.2555,40.5458,78.7097,134.2535,63.2933,70.9602
4,real,134.8813,104.8751,30.0063,156.6358,131.7486,24.8872
5,synthetic,117.587,61.2531,56.3339,168.4365,115.3043,53.1322
5,real,148.0571,138.596,9.4611,216.4105,208.6426,7.7679
6,synthetic,75.6002,36.6363,38.9639,113.0585,77.4362,35.6223
6,real,112.4507,92.5357,19.915,165.1718,148.1102,17.0615
7,synthetic,97.3693,36.765,60.6044,175.2615,116.0246,59.2369
7,real,100.2265,81.6476,18.5789,183.6967,165.9484,17.7482
8,synthetic,82.6312,39.6597,42.9714,131.052,88.7206,42.3315
8,real,77.7636,71.9555,5.808,123.7445,118.161,5.5835
9,synthetic,105.5242,42.1917,63.3326,145.086,85.1004,59.9856
9,real,95.7558,84.6519,11.1039,131.5406,121.6627,9.8779
10,synthetic,129.3856,58.6963,70.6893,190.3485,122.3307,68.0178
10,real,128.1885,118.5566,9.632,191.264,182.4573,8.8067
11,synthetic,101.9442,40.5634,61.3808,117.2355,63.1091,54.1264
11,real,92.8146,86.0135,6.8012,104.2416,100.526,3.7155
12,synthetic,67.7464,26.9902,40.7562,89.419,51.8746,37.5444
12,real,60.201,54.2352,5.9658,80.2141,75.692,4.5221
13,synthetic,62.5711,25.5903,36.9808,121.535,84.8329,36.7021
13,real,63.0317,61.0784,1.9533,114.5898,112.6423,1.9475
14,synthetic,80.206,36.7173,43.4887,138.1485,98.5162,39.6323
14,real,87.277,76.8895,10.3875,145.8041,137.518,8.2861
15,synthetic,55.0676,11.3877,43.6799,101.783,62.3451,39.4379
15,real,51.4489,41.3744,10.0745,95.1958,87.5826,7.6132
16,synthetic,64.5351,16.1339,48.4012,92.5995,48.2839,44.3156
16,real,56.3404,51.1423,5.1981,82.5613,79.5923,2.969
17,synthetic,109.8962,42.3594,67.5367,140.442,77.0013,63.4407
17,real,91.2038,84.0093,7.1944,120.4534,115.4355,5.0179
18,synthetic,108.473,35.8015,72.6715,143.582,73.9719,69.6101
18,real,94.1185,90.4936,3.6249,128.8563,125.2596,3.5967
19,synthetic,106.0768,32.6652,73.4115,178.7645,105.6819,73.0826
19,real,111.5262,89.3499,22.1763,198.8324,177.1296,21.7029
20,synthetic,52.8391,12.033,40.8061,98.929,60.5924,38.3366
20,real,59.502,56.3762,3.1257,112.9671,113.1102,-0.1432
