day,base,mpc,oracle,price_spread,rl,rl_best
60,134.9707,6.5623,11.6778,65.92,5.5758,4.7501
61,93.5021,1.6537,10.8476,68.24,0.9142,-2.9917
62,103.1578,-1.8148,5.2649,54.25,-7.1016,-10.9163
63,57.21,-1.0595,2.8086,40.34,-6.5734,-13.1298
64,156.6358,17.2189,32.3765,106.39,25.8831,25.4801
65,216.4105,5.12,10.7074,82.01,1.1627,-0.0464
66,165.1718,18.7971,29.7407,87.94,12.7833,14.0708
67,183.6967,25.4409,34.8555,76.61,21.1258,23.4384
68,123.7445,7.4567,11.357,63.43,5.7537,-3.0331
69,131.5406,6.5787,13.3547,52.13,7.0609,6.2698
70,191.264,9.5157,12.7666,49.03,7.4812,1.2261
71,104.2416,0.3446,6.3781,68.52,-3.3819,-8.4131
72,80.2141,-1.0246,6.1027,56.58,-5.4965,-9.4303
73,114.5898,1.2012,4.6882,57.73,-2.3664,-8.1464
74,145.8041,11.206,16.2627,64.85,9.2268,8.1921
75,95.1958,1.7341,10.1343,65.92,4.3648,-0.3875
76,82.5613,-0.2831,5.7592,68.24,-1.6124,-7.5848
77,120.4534,2.337,7.8389,54.25,2.9539,-3.357
78,128.8563,5.0266,6.2476,40.34,7.1401,4.2754
79,198.8324,32.4181,42.6368,106.39,42.0561,56.8424
80,112.9671,-0.5776,2.7982,82.01,-6.1574,-9.2031
