day,base,mpc,oracle,price_spread,rl,rl_best
200,162.4402,4.2033,11.4136,82.01,2.222,2.4309
201,120.4237,10.4029,22.5463,87.94,8.6933,9.1004
202,135.7784,16.3029,24.5113,76.61,8.5902,8.5403
203,52.9108,-2.7406,0.8107,63.43,-3.0468,-3.2062
204,111.4619,-2.9823,6.0475,52.13,2.8058,2.5443
205,183.2625,2.7157,6.707,49.03,1.3719,0.9975
206,120.2208,-0.7511,4.0564,68.52,-1.8571,-1.9131
207,128.749,8.5551,13.9615,56.58,4.2026,4.8054
208,109.4707,3.2311,7.1827,57.73,1.8797,1.7024
209,133.1472,9.6456,18.7319,64.85,4.9327,5.5719
210,184.7975,10.3621,14.2543,65.92,3.3627,3.6412
211,114.2289,4.2909,13.8154,68.24,-0.0121,0.2886
212,93.2887,-1.9405,6.5118,54.25,-0.285,-1.2601
213,132.7432,3.2935,6.837,40.34,1.4842,1.2451
214,196.8525,31.2908,40.2035,106.39,11.4469,12.3127
215,104.9744,-4.4009,2.4879,82.01,-0.1238,-0.2801
216,108.483,9.0799,18.2393,87.94,7.6237,7.9198
217,146.9831,6.6188,22.6567,76.61,8.369,8.837
218,125.8303,5.5875,7.6604,63.43,3.187,3.5176
219,144.6388,8.5133,8.7302,52.13,5.0656,5.1889
220,94.3393,-1.4842,2.1318,49.03,-0.4677,-0.9835
