run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.541851,12.4809,23.0338,0.599845,,,10,64,0.0001,112.6,2026-08-03T18:13:24.610513+00:00,B3_warm
,B5,30,0.0,1.0,0,0.70171,16.163,23.0338,0.391705,,,10,64,0.0001,245.1,2026-08-03T18:17:29.776495+00:00,B5_replay
,V1,30,1.0,0.0,0,0.782758,18.0299,23.0338,0.54016,,,10,64,0.0001,135.6,2026-08-03T18:19:45.395453+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,0,0.798316,18.3882,23.0338,0.563047,,,10,64,0.0001,135.2,2026-08-03T18:22:00.594611+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,0,0.800393,18.4361,23.0338,0.56773,,,10,64,0.0001,122.9,2026-08-03T18:24:03.472801+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,0,0.845592,19.4772,23.0338,0.675829,,,10,64,0.0001,124.7,2026-08-03T18:26:08.186894+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,0,0.808502,18.6228,23.0338,0.583933,,,10,64,0.0001,122.4,2026-08-03T18:28:10.626770+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,0,0.80811,18.6138,23.0338,0.570873,,,10,64,0.0001,121.5,2026-08-03T18:30:12.162189+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,0,0.712871,16.4201,23.0338,0.458791,,,10,64,0.0001,249.3,2026-08-03T18:34:21.455815+00:00,V3_hybrid
,B3,30,0.0,0.0,1,0.532867,12.2739,23.0338,0.549955,,,10,64,0.0001,134.1,2026-08-03T18:36:35.577493+00:00,B3_warm
,B5,30,0.0,1.0,1,0.667458,15.3741,23.0338,0.378644,,,10,64,0.0001,273.4,2026-08-03T18:41:09.034251+00:00,B5_replay
,V1,30,1.0,0.0,1,0.797822,18.3768,23.0338,0.589473,,,10,64,0.0001,158.6,2026-08-03T18:43:47.665309+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,1,0.809796,18.6526,23.0338,0.631874,,,10,64,0.0001,145.8,2026-08-03T18:46:13.465113+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,1,0.815478,18.7835,23.0338,0.638218,,,10,64,0.0001,137.2,2026-08-03T18:48:30.687609+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,1,0.763764,17.5923,23.0338,0.607256,,,10,64,0.0001,140.2,2026-08-03T18:50:50.928276+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,1,0.737494,16.9873,23.0338,0.554647,,,10,64,0.0001,138.9,2026-08-03T18:53:09.907602+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,1,0.769988,17.7357,23.0338,0.531264,,,10,64,0.0001,136.1,2026-08-03T18:55:25.979374+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,1,0.710894,16.3746,23.0338,0.472806,,,10,64,0.0001,268.1,2026-08-03T18:59:54.088841+00:00,V3_hybrid
,B3,30,0.0,0.0,2,0.506398,11.6643,23.0338,0.540542,,,10,64,0.0001,116.9,2026-08-03T19:01:51.044046+00:00,B3_warm
,B5,30,0.0,1.0,2,0.683009,15.7323,23.0338,0.417121,,,10,64,0.0001,250.2,2026-08-03T19:06:01.283271+00:00,B5_replay
,V1,30,1.0,0.0,2,0.713804,16.4416,23.0338,0.467911,,,10,64,0.0001,131.6,2026-08-03T19:08:12.936917+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,2,0.729685,16.8074,23.0338,0.483719,,,10,64,0.0001,147.4,2026-08-03T19:10:40.336389+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,2,0.734088,16.9088,23.0338,0.486874,,,10,64,0.0001,148.0,2026-08-03T19:13:08.338166+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,2,0.750896,17.296,23.0338,0.566242,,,10,64,0.0001,140.5,2026-08-03T19:15:28.894758+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,2,0.727773,16.7633,23.0338,0.496792,,,10,64,0.0001,127.4,2026-08-03T19:17:36.327580+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,2,0.730226,16.8198,23.0338,0.489503,,,10,64,0.0001,123.1,2026-08-03T19:19:39.446355+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,2,0.718769,16.5559,23.0338,0.498478,,,10,64,0.0001,236.1,2026-08-03T19:23:35.530959+00:00,V3_hybrid
