run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.112441,,,0.235504,,,10,64,0.0001,,2026-09-07T11:55:45.761461+00:00,freeze0
,B3,30,0.0,0.0,0,0.115221,,,0.229223,,,10,64,0.0001,,2026-09-07T11:57:37.588938+00:00,freeze1
,B3,30,0.0,0.0,0,0.113694,,,0.228912,,,10,64,0.0001,,2026-09-07T11:59:44.848586+00:00,freeze2
,B3,30,0.0,0.0,0,0.114667,,,0.228545,,,10,64,0.0001,,2026-09-07T12:02:22.560873+00:00,freeze3
,B3,30,0.0,0.0,0,0.115674,,,0.229418,,,10,64,0.0001,,2026-09-07T12:04:38.328339+00:00,freeze4
,B3,30,0.0,0.0,0,0.136586,,,0.196869,,,10,64,0.0001,,2026-09-07T12:07:02.723213+00:00,freeze5
,B5,30,0.0,1.0,0,0.128272,,,0.210577,,,10,64,0.0001,,2026-09-07T12:11:34.743968+00:00,replay_ref
,B3,30,0.0,0.0,1,0.122005,,,0.232164,,,10,64,0.0001,,2026-09-07T12:13:48.221410+00:00,freeze0
,B3,30,0.0,0.0,1,0.121775,,,0.230024,,,10,64,0.0001,,2026-09-07T12:16:13.199348+00:00,freeze1
,B3,30,0.0,0.0,1,0.120901,,,0.228994,,,10,64,0.0001,,2026-09-07T12:18:26.506229+00:00,freeze2
,B3,30,0.0,0.0,1,0.121962,,,0.231222,,,10,64,0.0001,,2026-09-07T12:20:53.653953+00:00,freeze3
,B3,30,0.0,0.0,1,0.119689,,,0.229928,,,10,64,0.0001,,2026-09-07T12:23:10.852236+00:00,freeze4
,B3,30,0.0,0.0,1,0.138136,,,0.197586,,,10,64,0.0001,,2026-09-07T12:25:21.669166+00:00,freeze5
,B5,30,0.0,1.0,1,0.12312,,,0.200934,,,10,64,0.0001,,2026-09-07T12:29:38.375500+00:00,replay_ref
,B3,30,0.0,0.0,2,0.107117,,,0.243914,,,10,64,0.0001,,2026-09-07T12:31:43.404403+00:00,freeze0
,B3,30,0.0,0.0,2,0.107848,,,0.237889,,,10,64,0.0001,,2026-09-07T12:33:51.917394+00:00,freeze1
,B3,30,0.0,0.0,2,0.107074,,,0.239692,,,10,64,0.0001,,2026-09-07T12:35:53.459553+00:00,freeze2
,B3,30,0.0,0.0,2,0.109249,,,0.237066,,,10,64,0.0001,,2026-09-07T12:38:13.996605+00:00,freeze3
,B3,30,0.0,0.0,2,0.113396,,,0.233855,,,10,64,0.0001,,2026-09-07T12:40:13.027095+00:00,freeze4
,B3,30,0.0,0.0,2,0.137586,,,0.19771,,,10,64,0.0001,,2026-09-07T12:41:47.034240+00:00,freeze5
,B5,30,0.0,1.0,2,0.130016,,,0.202491,,,10,64,0.0001,,2026-09-07T12:45:31.525640+00:00,replay_ref
,B3,30,0.0,0.0,3,0.109789,,,0.23251,,,10,64,0.0001,,2026-09-07T12:47:27.569200+00:00,freeze0
,B3,30,0.0,0.0,3,0.110654,,,0.23087,,,10,64,0.0001,,2026-09-07T12:49:15.481719+00:00,freeze1
,B3,30,0.0,0.0,3,0.108677,,,0.229892,,,10,64,0.0001,,2026-09-07T12:51:05.864821+00:00,freeze2
,B3,30,0.0,0.0,3,0.109903,,,0.230182,,,10,64,0.0001,,2026-09-07T12:53:03.901020+00:00,freeze3
,B3,30,0.0,0.0,3,0.113141,,,0.230302,,,10,64,0.0001,,2026-09-07T12:54:56.267343+00:00,freeze4
,B3,30,0.0,0.0,3,0.136139,,,0.194692,,,10,64,0.0001,,2026-09-07T12:56:40.083111+00:00,freeze5
,B5,30,0.0,1.0,3,0.146389,,,0.228977,,,10,64,0.0001,,2026-09-07T13:00:41.999415+00:00,replay_ref
,B3,30,0.0,0.0,4,0.120874,,,0.231872,,,10,64,0.0001,,2026-09-07T13:02:45.661008+00:00,freeze0
,B3,30,0.0,0.0,4,0.11898,,,0.225943,,,10,64,0.0001,,2026-09-07T13:04:38.666171+00:00,freeze1
,B3,30,0.0,0.0,4,0.117426,,,0.225614,,,10,64,0.0001,,2026-09-07T13:06:25.264429+00:00,freeze2
,B3,30,0.0,0.0,4,0.120067,,,0.228576,,,10,64,0.0001,,2026-09-07T13:08:06.177527+00:00,freeze3
,B3,30,0.0,0.0,4,0.121157,,,0.233323,,,10,64,0.0001,,2026-09-07T13:09:53.029363+00:00,freeze4
,B3,30,0.0,0.0,4,0.139096,,,0.199732,,,10,64,0.0001,,2026-09-07T13:11:53.765779+00:00,freeze5
,B5,30,0.0,1.0,4,0.123607,,,0.192961,,,10,64,0.0001,,2026-09-07T13:15:37.352097+00:00,replay_ref
,B3,30,0.0,0.0,5,0.116997,,,0.234582,,,10,64,0.0001,,2026-09-07T13:17:26.365789+00:00,freeze0
,B3,30,0.0,0.0,5,0.116667,,,0.23211,,,10,64,0.0001,,2026-09-07T13:19:11.796733+00:00,freeze1
,B3,30,0.0,0.0,5,0.113179,,,0.23181,,,10,64,0.0001,,2026-09-07T13:21:05.719989+00:00,freeze2
,B3,30,0.0,0.0,5,0.113987,,,0.233527,,,10,64,0.0001,,2026-09-07T13:23:11.135514+00:00,freeze3
,B3,30,0.0,0.0,5,0.114573,,,0.230207,,,10,64,0.0001,,2026-09-07T13:25:32.347032+00:00,freeze4
,B3,30,0.0,0.0,5,0.138202,,,0.197979,,,10,64,0.0001,,2026-09-07T13:27:51.336841+00:00,freeze5
,B5,30,0.0,1.0,5,0.138524,,,0.20671,,,10,64,0.0001,,2026-09-07T13:32:21.278362+00:00,replay_ref
,B3,30,0.0,0.0,6,0.112157,,,0.240036,,,10,64,0.0001,,2026-09-07T13:34:34.669122+00:00,freeze0
,B3,30,0.0,0.0,6,0.117864,,,0.236932,,,10,64,0.0001,,2026-09-07T13:36:35.605712+00:00,freeze1
,B3,30,0.0,0.0,6,0.115829,,,0.237945,,,10,64,0.0001,,2026-09-07T13:38:43.483949+00:00,freeze2
,B3,30,0.0,0.0,6,0.116941,,,0.235865,,,10,64,0.0001,,2026-09-07T13:40:48.071060+00:00,freeze3
,B3,30,0.0,0.0,6,0.115287,,,0.236399,,,10,64,0.0001,,2026-09-07T13:43:06.256120+00:00,freeze4
,B3,30,0.0,0.0,6,0.134863,,,0.192813,,,10,64,0.0001,,2026-09-07T13:45:28.929443+00:00,freeze5
,B5,30,0.0,1.0,6,0.13956,,,0.218989,,,10,64,0.0001,,2026-09-07T13:50:03.382447+00:00,replay_ref
,B3,30,0.0,0.0,7,0.110475,,,0.235772,,,10,64,0.0001,,2026-09-07T13:52:02.629543+00:00,freeze0
,B3,30,0.0,0.0,7,0.111339,,,0.231148,,,10,64,0.0001,,2026-09-07T13:54:01.929283+00:00,freeze1
,B3,30,0.0,0.0,7,0.109895,,,0.230718,,,10,64,0.0001,,2026-09-07T13:56:03.042756+00:00,freeze2
,B3,30,0.0,0.0,7,0.112284,,,0.230953,,,10,64,0.0001,,2026-09-07T13:58:00.349432+00:00,freeze3
,B3,30,0.0,0.0,7,0.113585,,,0.228206,,,10,64,0.0001,,2026-09-08T06:41:02.719590+00:00,freeze4
,B3,30,0.0,0.0,7,0.13625,,,0.195009,,,10,64,0.0001,,2026-09-08T06:42:29.496417+00:00,freeze5
,B5,30,0.0,1.0,7,0.140975,,,0.223116,,,10,64,0.0001,,2026-09-08T06:45:36.392754+00:00,replay_ref
,B3,30,0.0,0.0,8,0.117918,,,0.233117,,,10,64,0.0001,,2026-09-08T06:47:18.470724+00:00,freeze0
,B3,30,0.0,0.0,8,0.115197,,,0.229935,,,10,64,0.0001,,2026-09-08T06:49:08.362305+00:00,freeze1
,B3,30,0.0,0.0,8,0.110849,,,0.231325,,,10,64,0.0001,,2026-09-08T06:50:57.838011+00:00,freeze2
,B3,30,0.0,0.0,8,0.113305,,,0.230542,,,10,64,0.0001,,2026-09-08T06:52:41.428252+00:00,freeze3
,B3,30,0.0,0.0,8,0.115126,,,0.229772,,,10,64,0.0001,,2026-09-08T06:54:45.308166+00:00,freeze4
,B3,30,0.0,0.0,8,0.136546,,,0.194793,,,10,64,0.0001,,2026-09-08T06:57:01.858431+00:00,freeze5
,B5,30,0.0,1.0,8,0.127161,,,0.198304,,,10,64,0.0001,,2026-09-08T07:01:18.229172+00:00,replay_ref
,B3,30,0.0,0.0,9,0.115692,,,0.234244,,,10,64,0.0001,,2026-09-08T07:03:31.900296+00:00,freeze0
,B3,30,0.0,0.0,9,0.117083,,,0.230674,,,10,64,0.0001,,2026-09-08T07:05:51.992384+00:00,freeze1
,B3,30,0.0,0.0,9,0.115003,,,0.231501,,,10,64,0.0001,,2026-09-08T07:08:04.092323+00:00,freeze2
,B3,30,0.0,0.0,9,0.118114,,,0.231717,,,10,64,0.0001,,2026-09-08T07:10:34.625899+00:00,freeze3
,B3,30,0.0,0.0,9,0.119489,,,0.233425,,,10,64,0.0001,,2026-09-08T07:13:06.859711+00:00,freeze4
,B3,30,0.0,0.0,9,0.138553,,,0.200219,,,10,64,0.0001,,2026-09-08T07:15:32.700644+00:00,freeze5
,B5,30,0.0,1.0,9,0.137382,,,0.209622,,,10,64,0.0001,,2026-09-08T07:20:19.702428+00:00,replay_ref
