run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.53627,12.3523,23.0338,0.594036,,,10,64,0.0001,34.7,2026-09-06T11:41:20.583845+00:00,freeze0
,B3,30,0.0,0.0,0,0.581862,13.4025,23.0338,0.57862,,,10,64,0.0001,29.5,2026-09-06T11:41:50.056539+00:00,freeze1
,B3,30,0.0,0.0,0,0.56566,13.0293,23.0338,0.519583,,,10,64,0.0001,28.9,2026-09-06T11:42:18.923743+00:00,freeze2
,B3,30,0.0,0.0,0,0.538758,12.4096,23.0338,0.443613,,,10,64,0.0001,26.8,2026-09-06T11:42:45.705102+00:00,freeze3
,B3,30,0.0,0.0,0,0.80831,18.6184,23.0338,0.635359,,,10,64,0.0001,25.5,2026-09-06T11:43:11.257703+00:00,freeze4
,B3,30,0.0,0.0,0,0.858229,19.7682,23.0338,0.812935,,,10,64,0.0001,23.7,2026-09-06T11:43:34.938594+00:00,freeze5
,B5,30,0.0,1.0,0,0.701376,16.1553,23.0338,0.391352,,,10,64,0.0001,52.9,2026-09-06T11:44:27.868036+00:00,replay_ref
,B3,30,0.0,0.0,1,0.530856,12.2276,23.0338,0.547272,,,10,64,0.0001,35.1,2026-09-06T11:45:03.013436+00:00,freeze0
,B3,30,0.0,0.0,1,0.542939,12.5059,23.0338,0.51262,,,10,64,0.0001,29.9,2026-09-06T11:45:32.919475+00:00,freeze1
,B3,30,0.0,0.0,1,0.519625,11.9689,23.0338,0.465775,,,10,64,0.0001,27.2,2026-09-06T11:46:00.100566+00:00,freeze2
,B3,30,0.0,0.0,1,0.51234,11.8011,23.0338,0.412726,,,10,64,0.0001,28.6,2026-09-06T11:46:28.755453+00:00,freeze3
,B3,30,0.0,0.0,1,0.797596,18.3716,23.0338,0.620138,,,10,64,0.0001,25.9,2026-09-06T11:46:54.688464+00:00,freeze4
,B3,30,0.0,0.0,1,0.847009,19.5098,23.0338,0.797731,,,10,64,0.0001,23.5,2026-09-06T11:47:18.161553+00:00,freeze5
,B5,30,0.0,1.0,1,0.665201,15.3221,23.0338,0.377858,,,10,64,0.0001,49.8,2026-09-06T11:48:07.991697+00:00,replay_ref
,B3,30,0.0,0.0,2,0.507032,11.6789,23.0338,0.547676,,,10,64,0.0001,30.0,2026-09-06T11:48:37.956958+00:00,freeze0
,B3,30,0.0,0.0,2,0.583302,13.4356,23.0338,0.550191,,,10,64,0.0001,29.0,2026-09-06T11:49:06.996733+00:00,freeze1
,B3,30,0.0,0.0,2,0.529566,12.1979,23.0338,0.459038,,,10,64,0.0001,27.8,2026-09-06T11:49:34.785926+00:00,freeze2
,B3,30,0.0,0.0,2,0.503971,11.6083,23.0338,0.403691,,,10,64,0.0001,26.3,2026-09-06T11:50:01.121910+00:00,freeze3
,B3,30,0.0,0.0,2,0.825196,19.0074,23.0338,0.634468,,,10,64,0.0001,24.3,2026-09-06T11:50:25.396191+00:00,freeze4
,B3,30,0.0,0.0,2,0.856702,19.7331,23.0338,0.805588,,,10,64,0.0001,22.6,2026-09-06T11:50:47.998203+00:00,freeze5
,B5,30,0.0,1.0,2,0.681454,15.6965,23.0338,0.417446,,,10,64,0.0001,53.6,2026-09-06T11:51:41.620656+00:00,replay_ref
,B3,30,0.0,0.0,3,0.50213,11.5659,23.0338,0.547672,,,10,64,0.0001,31.5,2026-09-06T11:52:13.095312+00:00,freeze0
,B3,30,0.0,0.0,3,0.536816,12.3649,23.0338,0.506708,,,10,64,0.0001,29.1,2026-09-06T11:52:42.201093+00:00,freeze1
,B3,30,0.0,0.0,3,0.529218,12.1899,23.0338,0.4883,,,10,64,0.0001,27.3,2026-09-06T11:53:09.509249+00:00,freeze2
,B3,30,0.0,0.0,3,0.50752,11.6901,23.0338,0.425526,,,10,64,0.0001,25.7,2026-09-06T11:53:35.186023+00:00,freeze3
,B3,30,0.0,0.0,3,0.794891,18.3093,23.0338,0.618966,,,10,64,0.0001,24.2,2026-09-06T11:53:59.442209+00:00,freeze4
,B3,30,0.0,0.0,3,0.854832,19.69,23.0338,0.808207,,,10,64,0.0001,22.8,2026-09-06T11:54:22.281085+00:00,freeze5
,B5,30,0.0,1.0,3,0.714947,16.4679,23.0338,0.458009,,,10,64,0.0001,52.3,2026-09-06T11:55:14.578797+00:00,replay_ref
,B3,30,0.0,0.0,4,0.53545,12.3334,23.0338,0.529295,,,10,64,0.0001,29.8,2026-09-06T11:55:44.410780+00:00,freeze0
,B3,30,0.0,0.0,4,0.558067,12.8544,23.0338,0.503792,,,10,64,0.0001,29.8,2026-09-06T11:56:14.232412+00:00,freeze1
,B3,30,0.0,0.0,4,0.511576,11.7835,23.0338,0.458051,,,10,64,0.0001,29.2,2026-09-06T11:56:43.404731+00:00,freeze2
,B3,30,0.0,0.0,4,0.479431,11.0431,23.0338,0.395567,,,10,64,0.0001,25.5,2026-09-06T11:57:08.957723+00:00,freeze3
,B3,30,0.0,0.0,4,0.802075,18.4748,23.0338,0.610913,,,10,64,0.0001,23.5,2026-09-06T11:57:32.501532+00:00,freeze4
,B3,30,0.0,0.0,4,0.847356,19.5178,23.0338,0.78942,,,10,64,0.0001,22.1,2026-09-06T11:57:54.576141+00:00,freeze5
,B5,30,0.0,1.0,4,0.727418,16.7552,23.0338,0.449366,,,10,64,0.0001,51.2,2026-09-06T11:58:45.825004+00:00,replay_ref
,B3,30,0.0,0.0,5,0.513819,11.8352,23.0338,0.549349,,,10,64,0.0001,31.0,2026-09-06T11:59:16.796500+00:00,freeze0
,B3,30,0.0,0.0,5,0.532209,12.2588,23.0338,0.519265,,,10,64,0.0001,29.8,2026-09-06T11:59:46.614127+00:00,freeze1
,B3,30,0.0,0.0,5,0.539154,12.4187,23.0338,0.495038,,,10,64,0.0001,27.3,2026-09-06T12:00:13.933120+00:00,freeze2
,B3,30,0.0,0.0,5,0.536237,12.3515,23.0338,0.439653,,,10,64,0.0001,25.8,2026-09-06T12:00:39.789208+00:00,freeze3
,B3,30,0.0,0.0,5,0.801986,18.4728,23.0338,0.627849,,,10,64,0.0001,25.8,2026-09-06T12:01:05.645826+00:00,freeze4
,B3,30,0.0,0.0,5,0.853813,19.6665,23.0338,0.799026,,,10,64,0.0001,23.8,2026-09-06T12:01:29.495305+00:00,freeze5
,B5,30,0.0,1.0,5,0.710648,16.3689,23.0338,0.415085,,,10,64,0.0001,51.6,2026-09-06T12:02:21.091345+00:00,replay_ref
,B3,30,0.0,0.0,6,0.527262,12.1448,23.0338,0.62181,,,10,64,0.0001,31.2,2026-09-06T12:02:52.283839+00:00,freeze0
,B3,30,0.0,0.0,6,0.576324,13.2749,23.0338,0.595059,,,10,64,0.0001,29.6,2026-09-06T12:03:21.936627+00:00,freeze1
,B3,30,0.0,0.0,6,0.518979,11.954,23.0338,0.495524,,,10,64,0.0001,28.8,2026-09-06T12:03:50.768251+00:00,freeze2
,B3,30,0.0,0.0,6,0.495219,11.4067,23.0338,0.420919,,,10,64,0.0001,25.9,2026-09-06T12:04:16.727236+00:00,freeze3
,B3,30,0.0,0.0,6,0.814861,18.7693,23.0338,0.646295,,,10,64,0.0001,23.8,2026-09-06T12:04:40.545722+00:00,freeze4
,B3,30,0.0,0.0,6,0.855163,19.6976,23.0338,0.818628,,,10,64,0.0001,26.9,2026-09-06T12:05:07.480199+00:00,freeze5
,B5,30,0.0,1.0,6,0.740497,17.0564,23.0338,0.441975,,,10,64,0.0001,64.9,2026-09-06T12:06:12.348716+00:00,replay_ref
,B3,30,0.0,0.0,7,0.485928,11.1927,23.0338,0.535294,,,10,64,0.0001,34.9,2026-09-06T12:06:47.242302+00:00,freeze0
,B3,30,0.0,0.0,7,0.50184,11.5593,23.0338,0.493311,,,10,64,0.0001,31.9,2026-09-06T12:07:19.159569+00:00,freeze1
,B3,30,0.0,0.0,7,0.48727,11.2236,23.0338,0.445883,,,10,64,0.0001,37.2,2026-09-06T12:07:56.411445+00:00,freeze2
,B3,30,0.0,0.0,7,0.482045,11.1033,23.0338,0.39925,,,10,64,0.0001,30.0,2026-09-06T12:08:26.423306+00:00,freeze3
,B3,30,0.0,0.0,7,0.804245,18.5248,23.0338,0.624824,,,10,64,0.0001,25.5,2026-09-06T12:08:51.894669+00:00,freeze4
,B3,30,0.0,0.0,7,0.849683,19.5714,23.0338,0.792339,,,10,64,0.0001,23.6,2026-09-06T12:09:15.487460+00:00,freeze5
