run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B3,30,0.0,0.0,0,0.683897,15.7527,23.0338,0.62851,,,3,64,0.0001,31.0,2026-08-04T10:35:39.722146+00:00,lr0.0001_ep3
,B3,30,0.0,0.0,0,0.534142,12.3033,23.0338,0.59317,,,10,64,0.0001,85.0,2026-08-04T10:37:04.750472+00:00,lr0.0001_ep10
,B3,30,0.0,0.0,0,0.78919,18.178,23.0338,0.670526,,,3,64,3e-05,30.9,2026-08-04T10:37:35.636877+00:00,lr3e-05_ep3
,B3,30,0.0,0.0,0,0.70997,16.3533,23.0338,0.658462,,,10,64,3e-05,92.3,2026-08-04T10:39:07.997014+00:00,lr3e-05_ep10
,B3,30,0.0,0.0,0,0.823706,18.973,23.0338,0.637425,,,3,64,1e-05,33.7,2026-08-04T10:39:41.680882+00:00,lr1e-05_ep3
,B3,30,0.0,0.0,0,0.784461,18.0691,23.0338,0.66785,,,10,64,1e-05,91.6,2026-08-04T10:41:13.326583+00:00,lr1e-05_ep10
,B3,30,0.0,0.0,1,0.677522,15.6059,23.0338,0.621311,,,3,64,0.0001,26.0,2026-08-04T10:41:39.298565+00:00,lr0.0001_ep3
,B3,30,0.0,0.0,1,0.532491,12.2653,23.0338,0.541385,,,10,64,0.0001,85.2,2026-08-04T10:43:04.515844+00:00,lr0.0001_ep10
,B3,30,0.0,0.0,1,0.780399,17.9755,23.0338,0.655274,,,3,64,3e-05,25.0,2026-08-04T10:43:29.556903+00:00,lr3e-05_ep3
,B3,30,0.0,0.0,1,0.654882,15.0844,23.0338,0.604048,,,10,64,3e-05,88.6,2026-08-04T10:44:58.186462+00:00,lr3e-05_ep10
,B3,30,0.0,0.0,1,0.836374,19.2648,23.0338,0.642729,,,3,64,1e-05,27.1,2026-08-04T10:45:25.268644+00:00,lr1e-05_ep3
,B3,30,0.0,0.0,1,0.754987,17.3902,23.0338,0.638119,,,10,64,1e-05,86.6,2026-08-04T10:46:51.897713+00:00,lr1e-05_ep10
,B3,30,0.0,0.0,2,0.755031,17.3912,23.0338,0.715915,,,3,64,0.0001,24.3,2026-08-04T10:47:16.192981+00:00,lr0.0001_ep3
,B3,30,0.0,0.0,2,0.503655,11.6011,23.0338,0.547256,,,10,64,0.0001,78.3,2026-08-04T10:48:34.520041+00:00,lr0.0001_ep10
,B3,30,0.0,0.0,2,0.803153,18.4996,23.0338,0.68566,,,3,64,3e-05,21.6,2026-08-04T10:48:56.156634+00:00,lr3e-05_ep3
,B3,30,0.0,0.0,2,0.683916,15.7531,23.0338,0.622481,,,10,64,3e-05,75.3,2026-08-04T10:50:11.486452+00:00,lr3e-05_ep10
,B3,30,0.0,0.0,2,0.848072,19.5343,23.0338,0.656389,,,3,64,1e-05,32.5,2026-08-04T11:41:07.512131+00:00,lr1e-05_ep3
,B3,30,0.0,0.0,2,0.779776,17.9612,23.0338,0.655486,,,10,64,1e-05,78.9,2026-08-04T11:42:26.402119+00:00,lr1e-05_ep10
