arm,seed,source_ref,b3_retention,mas_retention,payoff,b3_target,mas_target,frag_10,frag_25,frag_50,frag_100
production,0,0.547855,0.598294,0.565174,0.03312,0.536911,0.807702,0.314602,0.165958,0.181722,0.126542
production,1,0.547855,0.55031,0.57982,-0.02951,0.529974,0.816997,0.314602,0.165958,0.181722,0.126542
production,2,0.547855,0.54253,0.58093,-0.0384,0.500813,0.82077,0.314602,0.165958,0.181722,0.126542
ep1,0,0.892512,1.437755,0.930877,0.506878,1.00917,0.992166,0.086929,0.169811,0.229254,0.324712
ep1,1,0.892512,1.451442,0.917367,0.534075,1.002393,1.032645,0.086929,0.169811,0.229254,0.324712
ep1,2,0.892512,1.453819,0.92583,0.527989,1.010934,0.996793,0.086929,0.169811,0.229254,0.324712
ep4,0,0.866727,1.231288,0.892787,0.338501,0.981009,0.916916,0.062043,0.128098,0.170802,0.250897
ep4,1,0.866727,1.235878,0.893732,0.342146,0.972485,0.900651,0.062043,0.128098,0.170802,0.250897
ep4,2,0.866727,1.234155,0.894827,0.339328,0.965558,0.93017,0.062043,0.128098,0.170802,0.250897
ep12,0,0.604133,1.077047,0.659949,0.417098,0.894759,0.781451,0.205111,0.449523,0.551742,0.694392
ep12,1,0.604133,1.056989,0.663736,0.393253,0.893157,0.776438,0.205111,0.449523,0.551742,0.694392
ep12,2,0.604133,1.062146,0.665584,0.396562,0.896309,0.757086,0.205111,0.449523,0.551742,0.694392
ep24,0,0.427251,0.538641,0.537267,0.001374,0.588642,0.597054,0.583319,0.820563,0.85502,0.985703
ep24,1,0.427251,0.571354,0.555449,0.015905,0.615189,0.593999,0.583319,0.820563,0.85502,0.985703
ep24,2,0.427251,0.590384,0.537092,0.053292,0.624388,0.586966,0.583319,0.820563,0.85502,0.985703
