day,forecaster,forecast_nrmse,demand_kwh,realised_cost_eur
1100,perfect,0.0,1250.8,180.218
1100,persistence,2.9681,1250.8,180.218
1100,flat,2.1756,1250.8,187.62
1101,perfect,0.0,1095.8,153.48
1101,persistence,1.3828,1095.8,153.48
1101,flat,2.5255,1095.8,164.37
1102,perfect,0.0,1128.2,161.085
1102,persistence,2.3952,1128.2,161.287
1102,flat,2.3685,1128.2,169.23
1103,perfect,0.0,1760.0,252.829
1103,persistence,1.8269,1760.0,253.403
1103,flat,2.3604,1760.0,264.0
1104,perfect,0.0,1171.0,140.134
1104,persistence,1.8994,1171.0,141.09
1104,flat,2.4051,1171.0,175.65
1105,perfect,0.0,964.8,122.254
1105,persistence,1.7134,964.8,123.041
1105,flat,2.1218,964.8,144.72
1106,perfect,0.0,1290.4,170.768
1106,persistence,1.17,1290.4,170.914
1106,flat,2.0973,1290.4,193.56
1107,perfect,0.0,1356.9,180.056
1107,persistence,0.6471,1356.9,180.27
1107,flat,2.0465,1356.9,203.535
1108,perfect,0.0,1262.8,119.4
1108,persistence,1.4068,1262.8,119.794
1108,flat,2.0041,1262.8,189.42
1109,perfect,0.0,975.3,109.867
1109,persistence,1.8924,975.3,111.544
1109,flat,2.061,975.3,146.295
1110,perfect,0.0,1363.8,145.778
1110,persistence,0.9975,1363.8,146.183
1110,flat,1.9598,1363.8,204.57
1111,perfect,0.0,1433.8,158.494
1111,persistence,1.0594,1433.8,158.606
1111,flat,2.051,1433.8,215.07
1112,perfect,0.0,1863.6,180.866
1112,persistence,1.0104,1863.6,180.889
1112,flat,1.9173,1863.6,277.83
1113,perfect,0.0,1306.0,127.882
1113,persistence,0.8034,1306.0,127.882
1113,flat,1.9636,1306.0,195.9
