day,pv_forecaster,demand_forecaster,pv_nrmse,demand_pred_kwh,demand_real_kwh,realised_cost_eur
1100,perfect,perfect,0.0,1250.8,1250.8,108.225
1100,perfect,persistence,0.0,1195.0,1250.8,108.767
1100,perfect,weekly,0.0,1635.4,1250.8,108.867
1100,persistence,perfect,2.9681,1250.8,1250.8,109.615
1100,persistence,persistence,2.9681,1195.0,1250.8,110.555
1100,persistence,weekly,2.9681,1635.4,1250.8,109.711
1100,flat,perfect,2.1756,1250.8,1250.8,108.082
1100,flat,persistence,2.1756,1195.0,1250.8,108.022
1100,flat,weekly,2.1756,1635.4,1250.8,109.046
1101,perfect,perfect,0.0,1095.8,1095.8,99.14
1101,perfect,persistence,0.0,1250.8,1095.8,98.995
1101,perfect,weekly,0.0,1328.1,1095.8,98.949
1101,persistence,perfect,1.3828,1095.8,1095.8,99.383
1101,persistence,persistence,1.3828,1250.8,1095.8,99.177
1101,persistence,weekly,1.3828,1328.1,1095.8,99.103
1101,flat,perfect,2.5255,1095.8,1095.8,100.9
1101,flat,persistence,2.5255,1250.8,1095.8,100.279
1101,flat,weekly,2.5255,1328.1,1095.8,99.606
1102,perfect,perfect,0.0,1128.2,1128.2,110.759
1102,perfect,persistence,0.0,1095.8,1128.2,111.082
1102,perfect,weekly,0.0,1253.4,1128.2,110.399
1102,persistence,perfect,2.3952,1128.2,1128.2,111.28
1102,persistence,persistence,2.3952,1095.8,1128.2,111.657
1102,persistence,weekly,2.3952,1253.4,1128.2,111.099
1102,flat,perfect,2.3685,1128.2,1128.2,110.574
1102,flat,persistence,2.3685,1095.8,1128.2,110.025
1102,flat,weekly,2.3685,1253.4,1128.2,110.767
1103,perfect,perfect,0.0,1760.0,1760.0,178.665
1103,perfect,persistence,0.0,1128.2,1760.0,185.464
1103,perfect,weekly,0.0,603.1,1760.0,194.024
1103,persistence,perfect,1.8269,1760.0,1760.0,180.637
1103,persistence,persistence,1.8269,1128.2,1760.0,185.164
1103,persistence,weekly,1.8269,603.1,1760.0,192.807
1103,flat,perfect,2.3604,1760.0,1760.0,178.271
1103,flat,persistence,2.3604,1128.2,1760.0,181.128
1103,flat,weekly,2.3604,603.1,1760.0,188.542
1104,perfect,perfect,0.0,1171.0,1171.0,112.402
1104,perfect,persistence,0.0,1760.0,1171.0,109.333
1104,perfect,weekly,0.0,1207.6,1171.0,112.059
1104,persistence,perfect,1.8994,1171.0,1171.0,114.988
1104,persistence,persistence,1.8994,1760.0,1171.0,118.698
1104,persistence,weekly,1.8994,1207.6,1171.0,115.228
1104,flat,perfect,2.4051,1171.0,1171.0,114.988
1104,flat,persistence,2.4051,1760.0,1171.0,120.807
1104,flat,weekly,2.4051,1207.6,1171.0,115.228
1105,perfect,perfect,0.0,964.8,964.8,98.748
1105,perfect,persistence,0.0,1171.0,964.8,97.951
1105,perfect,weekly,0.0,1709.2,964.8,96.519
1105,persistence,perfect,1.7134,964.8,964.8,101.491
1105,persistence,persistence,1.7134,1171.0,964.8,99.499
1105,persistence,weekly,1.7134,1709.2,964.8,97.393
1105,flat,perfect,2.1218,964.8,964.8,104.026
1105,flat,persistence,2.1218,1171.0,964.8,104.43
1105,flat,weekly,2.1218,1709.2,964.8,102.934
1106,perfect,perfect,0.0,1290.4,1290.4,134.92
1106,perfect,persistence,0.0,964.8,1290.4,129.654
1106,perfect,weekly,0.0,1195.0,1290.4,130.272
1106,persistence,perfect,1.17,1290.4,1290.4,138.709
1106,persistence,persistence,1.17,964.8,1290.4,135.65
1106,persistence,weekly,1.17,1195.0,1290.4,134.459
1106,flat,perfect,2.0973,1290.4,1290.4,134.92
1106,flat,persistence,2.0973,964.8,1290.4,129.654
1106,flat,weekly,2.0973,1195.0,1290.4,130.272
1107,perfect,perfect,0.0,1356.9,1356.9,139.412
1107,perfect,persistence,0.0,1290.4,1356.9,136.75
1107,perfect,weekly,0.0,1250.8,1356.9,135.718
1107,persistence,perfect,0.6471,1356.9,1356.9,138.691
1107,persistence,persistence,0.6471,1290.4,1356.9,135.543
1107,persistence,weekly,0.6471,1250.8,1356.9,134.463
1107,flat,perfect,2.0465,1356.9,1356.9,138.691
1107,flat,persistence,2.0465,1290.4,1356.9,135.543
1107,flat,weekly,2.0465,1250.8,1356.9,134.463
1108,perfect,perfect,0.0,1262.8,1262.8,93.453
1108,perfect,persistence,0.0,1356.9,1262.8,91.474
1108,perfect,weekly,0.0,1095.8,1262.8,94.965
1108,persistence,perfect,1.4068,1262.8,1262.8,101.981
1108,persistence,persistence,1.4068,1356.9,1262.8,101.626
1108,persistence,weekly,1.4068,1095.8,1262.8,102.973
1108,flat,perfect,2.0041,1262.8,1262.8,122.381
1108,flat,persistence,2.0041,1356.9,1262.8,122.855
1108,flat,weekly,2.0041,1095.8,1262.8,115.949
1109,perfect,perfect,0.0,975.3,975.3,81.011
1109,perfect,persistence,0.0,1262.8,975.3,77.277
1109,perfect,weekly,0.0,1128.2,975.3,78.716
1109,persistence,perfect,1.8924,975.3,975.3,82.222
1109,persistence,persistence,1.8924,1262.8,975.3,78.979
1109,persistence,weekly,1.8924,1128.2,975.3,79.929
1109,flat,perfect,2.061,975.3,975.3,90.581
1109,flat,persistence,2.061,1262.8,975.3,90.997
1109,flat,weekly,2.061,1128.2,975.3,90.791
1110,perfect,perfect,0.0,1363.8,1363.8,103.841
1110,perfect,persistence,0.0,975.3,1363.8,107.279
1110,perfect,weekly,0.0,1760.0,1363.8,100.183
1110,persistence,perfect,0.9975,1363.8,1363.8,104.913
1110,persistence,persistence,0.9975,975.3,1363.8,106.632
1110,persistence,weekly,0.9975,1760.0,1363.8,101.897
1110,flat,perfect,1.9598,1363.8,1363.8,130.103
1110,flat,persistence,1.9598,975.3,1363.8,116.977
1110,flat,weekly,1.9598,1760.0,1363.8,124.27
1111,perfect,perfect,0.0,1433.8,1433.8,113.499
1111,perfect,persistence,0.0,1363.8,1433.8,114.346
1111,perfect,weekly,0.0,1171.0,1433.8,116.317
1111,persistence,perfect,1.0594,1433.8,1433.8,113.984
1111,persistence,persistence,1.0594,1363.8,1433.8,115.277
1111,persistence,weekly,1.0594,1171.0,1433.8,115.734
1111,flat,perfect,2.051,1433.8,1433.8,134.826
1111,flat,persistence,2.051,1363.8,1433.8,131.961
1111,flat,weekly,2.051,1171.0,1433.8,125.179
1112,perfect,perfect,0.0,1863.6,1863.6,109.318
1112,perfect,persistence,0.0,1433.8,1863.6,118.718
1112,perfect,weekly,0.0,964.8,1863.6,122.064
1112,persistence,perfect,1.0104,1863.6,1863.6,108.899
1112,persistence,persistence,1.0104,1433.8,1863.6,116.027
1112,persistence,weekly,1.0104,964.8,1863.6,124.468
1112,flat,perfect,1.9173,1863.6,1863.6,126.336
1112,flat,persistence,1.9173,1433.8,1863.6,127.861
1112,flat,weekly,1.9173,964.8,1863.6,125.801
1113,perfect,perfect,0.0,1306.0,1306.0,85.042
1113,perfect,persistence,0.0,1863.6,1306.0,82.476
1113,perfect,weekly,0.0,1290.4,1306.0,85.224
1113,persistence,perfect,0.8034,1306.0,1306.0,85.979
1113,persistence,persistence,0.8034,1863.6,1306.0,82.902
1113,persistence,weekly,0.8034,1290.4,1306.0,86.286
1113,flat,perfect,1.9636,1306.0,1306.0,101.533
1113,flat,persistence,1.9636,1863.6,1306.0,98.87
1113,flat,weekly,1.9636,1290.4,1306.0,100.721
