run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,90,0.0,0.0,0,40.720363,71.4237,14.78620000000185,,,,10,64,0.0001,165.4,2026-08-04T16:53:59.816245+00:00,industrial2
,B3,90,0.0,0.0,0,3.392888,5.9511,14.78620000000185,,,,10,64,0.0001,144.7,2026-08-04T16:56:24.520084+00:00,industrial2
,B0,90,0.0,0.0,1,33.853057,59.3784,14.78620000000185,,,,10,64,0.0001,139.4,2026-08-04T16:58:43.952317+00:00,industrial2
,B3,90,0.0,0.0,1,2.426908,4.2568,14.78620000000185,,,,10,64,0.0001,143.0,2026-08-04T17:01:06.962701+00:00,industrial2
,B0,90,0.0,0.0,0,32.784505,108.399,10.958576000001509,,,,10,64,0.0001,146.9,2026-08-04T17:03:34.206342+00:00,industrial3_pv_roof
,B3,90,0.0,0.0,0,1.967424,6.5051,10.958576000001509,,,,10,64,0.0001,140.2,2026-08-04T17:05:54.390881+00:00,industrial3_pv_roof
,B0,90,0.0,0.0,1,113.458594,375.1405,10.958576000001509,,,,10,64,0.0001,137.9,2026-08-04T17:08:12.321111+00:00,industrial3_pv_roof
,B3,90,0.0,0.0,1,1.444518,4.7762,10.958576000001509,,,,10,64,0.0001,136.4,2026-08-04T17:10:28.704120+00:00,industrial3_pv_roof
,B0,90,0.0,0.0,0,173.927416,116.697,15.0,,,,10,64,0.0001,137.8,2026-08-04T17:12:47.128795+00:00,pv
,B3,90,0.0,0.0,0,9.304653,6.243,15.0,,,,10,64,0.0001,141.0,2026-08-04T17:15:08.172746+00:00,pv
,B0,90,0.0,0.0,1,427.911464,287.1082,15.0,,,,10,64,0.0001,141.7,2026-08-04T17:17:29.900233+00:00,pv
,B3,90,0.0,0.0,1,5.97742,4.0106,15.0,,,,10,64,0.0001,138.6,2026-08-04T17:19:48.559977+00:00,pv
,B0,90,0.0,0.0,0,165.340043,168.9711,8.076000000000931,,,,10,64,0.0001,159.1,2026-08-04T17:22:28.083783+00:00,residential1
,B3,90,0.0,0.0,0,6.326908,6.4659,8.076000000000931,,,,10,64,0.0001,158.7,2026-08-04T17:25:06.801507+00:00,residential1
,B0,90,0.0,0.0,1,179.489358,183.4312,8.076000000000931,,,,10,64,0.0001,165.9,2026-08-04T17:27:52.677014+00:00,residential1
,B3,90,0.0,0.0,1,7.015718,7.1698,8.076000000000931,,,,10,64,0.0001,153.2,2026-08-04T17:30:25.849307+00:00,residential1
,B0,90,0.0,0.0,0,47.234673,35.7797,8.52866000000057,,,,10,64,0.0001,152.1,2026-08-04T17:32:58.439157+00:00,residential4
,B3,90,0.0,0.0,0,2.327665,1.7632,8.52866000000057,,,,10,64,0.0001,152.5,2026-08-04T17:35:30.958257+00:00,residential4
,B0,90,0.0,0.0,1,31.8887,24.1553,8.52866000000057,,,,10,64,0.0001,161.2,2026-08-04T17:38:12.227069+00:00,residential4
,B3,90,0.0,0.0,1,3.430778,2.5988,8.52866000000057,,,,10,64,0.0001,146.2,2026-08-04T17:40:38.482239+00:00,residential4
,B0,90,0.0,0.0,0,66.581684,85.5711,7.627300000004124,,,,10,64,0.0001,139.7,2026-08-04T17:42:58.585783+00:00,residential6
,B0,90,0.0,0.0,1,127.067106,163.3073,7.627300000004124,,,,10,64,0.0001,178.1,2026-08-05T10:58:30.536280+00:00,residential6
,B3,90,0.0,0.0,0,3.093287,3.9755,7.627300000004124,,,,10,64,0.0001,144.4,2026-08-05T11:00:54.944805+00:00,residential6
,B3,90,0.0,0.0,1,2.083997,2.6784,7.627300000004124,,,,10,64,0.0001,136.2,2026-08-05T11:03:11.155910+00:00,residential6
