run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,1,0.0,0.0,0,68.42924,45.9128,0.671,,0,0.5,10,64,0.0001,5.5,2026-09-04T22:29:19.908734+00:00,PV
,B3,1,0.0,0.0,0,11.715758,7.8607,0.671,,0,0.5,10,64,0.0001,2.8,2026-09-04T22:29:22.687851+00:00,PV
,B4,1,100.0,0.0,0,11.740411,7.8773,0.671,,0,0.5,10,64,0.0001,3.1,2026-09-04T22:29:25.756817+00:00,PV
,B0,7,0.0,0.0,0,467.798086,313.8702,0.671,,0,0.5,10,64,0.0001,10.9,2026-09-04T22:29:36.631092+00:00,PV
,B3,7,0.0,0.0,0,5.635347,3.781,0.671,,0,0.5,10,64,0.0001,10.3,2026-09-04T22:29:46.983583+00:00,PV
,B4,7,100.0,0.0,0,5.42636,3.6408,0.671,,0,0.5,10,64,0.0001,12.7,2026-09-04T22:29:59.740689+00:00,PV
,B0,30,0.0,0.0,0,767.567106,515.001,0.671,,0,0.5,10,64,0.0001,43.2,2026-09-04T22:30:42.989279+00:00,PV
,B3,30,0.0,0.0,0,10.269374,6.8903,0.671,,0,0.5,10,64,0.0001,41.8,2026-09-04T22:31:24.815243+00:00,PV
,B4,30,100.0,0.0,0,7.437244,4.99,0.671,,0,0.5,10,64,0.0001,49.0,2026-09-04T22:32:13.781693+00:00,PV
,B0,60,0.0,0.0,0,554.841988,372.2726,0.671,,0,0.5,10,64,0.0001,88.6,2026-09-04T22:33:42.359326+00:00,PV
,B3,60,0.0,0.0,0,6.786491,4.5534,0.671,,0,0.5,10,64,0.0001,77.7,2026-09-04T22:35:00.066221+00:00,PV
,B4,60,100.0,0.0,0,12.054911,8.0883,0.671,,0,0.5,10,64,0.0001,99.7,2026-09-04T22:36:39.761789+00:00,PV
,B0,90,0.0,0.0,0,180.092484,120.8335,0.671,,0,0.5,10,64,0.0001,116.8,2026-09-04T22:38:36.604031+00:00,PV
,B3,90,0.0,0.0,0,6.733387,4.5178,0.671,,0,0.5,10,64,0.0001,111.8,2026-09-04T22:40:28.418426+00:00,PV
,B4,90,100.0,0.0,0,15.012458,10.0726,0.671,,0,0.5,10,64,0.0001,144.0,2026-09-04T22:42:52.429591+00:00,PV
,B0,1,0.0,0.0,1,141.19789,94.7371,0.671,,0,0.5,10,64,0.0001,2.6,2026-09-04T22:42:55.078489+00:00,PV
,B3,1,0.0,0.0,1,9.935297,6.6661,0.671,,0,0.5,10,64,0.0001,2.8,2026-09-04T22:42:57.849562+00:00,PV
,B4,1,100.0,0.0,1,9.925238,6.6594,0.671,,0,0.5,10,64,0.0001,3.0,2026-09-04T22:43:00.816821+00:00,PV
