run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,30,0.0,0.0,0,768.551652,515.6616,0.671,7.740778,,,10,64,0.0001,58.6,2026-08-04T15:55:08.756037+00:00,PV
,B3,30,0.0,0.0,0,8.707996,5.8427,0.671,1.753327,,,10,64,0.0001,45.7,2026-08-04T15:55:54.498358+00:00,PV
,B1,30,100.0,0.0,0,9.512006,6.3821,0.671,1.469101,,,10,64,0.0001,54.3,2026-08-04T15:56:48.787454+00:00,PV
,B4,30,100.0,0.0,0,8.23009,5.522,0.671,1.725234,,,10,64,0.0001,52.7,2026-08-04T15:57:41.475833+00:00,PV
,B5,30,0.0,1.0,0,14.458828,9.7012,0.671,0.68815,,,10,64,0.0001,84.8,2026-08-04T15:59:06.277969+00:00,PV
,B0,30,0.0,0.0,1,809.297103,542.9998,0.671,4.984657,,,10,64,0.0001,52.0,2026-08-04T15:59:58.324586+00:00,PV
,B3,30,0.0,0.0,1,11.453402,7.6847,0.671,1.703947,,,10,64,0.0001,47.4,2026-08-04T16:00:45.724115+00:00,PV
,B1,30,100.0,0.0,1,11.179502,7.5009,0.671,1.58725,,,10,64,0.0001,51.4,2026-08-04T16:01:37.146287+00:00,PV
,B4,30,100.0,0.0,1,9.892213,6.6372,0.671,1.672443,,,10,64,0.0001,50.1,2026-08-04T16:02:27.302035+00:00,PV
,B5,30,0.0,1.0,1,16.805672,11.2758,0.671,0.715764,,,10,64,0.0001,76.1,2026-08-04T16:03:43.463243+00:00,PV
,B0,30,0.0,0.0,2,143.030565,95.9667,0.671,2.292295,,,10,64,0.0001,54.5,2026-08-04T16:04:37.940760+00:00,PV
,B3,30,0.0,0.0,2,10.463342,7.0204,0.671,1.642667,,,10,64,0.0001,45.9,2026-08-04T16:05:23.825121+00:00,PV
,B1,30,100.0,0.0,2,10.316561,6.9219,0.671,1.45744,,,10,64,0.0001,53.3,2026-08-04T16:06:17.132837+00:00,PV
,B4,30,100.0,0.0,2,9.762148,6.5499,0.671,1.739059,,,10,64,0.0001,51.8,2026-08-04T16:07:08.997227+00:00,PV
,B5,30,0.0,1.0,2,21.228942,14.2436,0.671,0.61512,,,10,64,0.0001,74.7,2026-08-04T16:08:23.704705+00:00,PV
