rep,cond,dist_W,nrmse_mean,nrmse_std,seeds
minmax,B0,0.0935,1.03,0.1589,0.8042;0.9485;0.9839;1.2510;1.1625
minmax,B3,0.0935,0.9506,0.0052,0.9485;0.9566;0.9520;0.9417;0.9543
zscore,B0,0.5942,0.8664,0.1431,0.7759;1.0364;0.7509;1.0446;0.7244
zscore,B3,0.5942,0.2747,0.0091,0.2664;0.2828;0.2845;0.2781;0.2617
robust,B0,0.5719,0.8014,0.0942,0.6448;0.9153;0.8368;0.8578;0.7520
robust,B3,0.5719,0.2667,0.0127,0.2461;0.2745;0.2581;0.2741;0.2805
log,B0,0.6417,0.6728,0.1066,0.5300;0.8076;0.7845;0.6352;0.6066
log,B3,0.6417,0.4237,0.0125,0.4030;0.4197;0.4259;0.4409;0.4291
revin,B0,0.2048,0.3317,0.0229,0.3337;0.3735;0.3273;0.3175;0.3064
revin,B3,0.2048,0.1144,0.0021,0.1161;0.1161;0.1155;0.1137;0.1106
san_style,B0,3.9258,0.6968,0.0792,0.7071;0.8033;0.7516;0.5780;0.6441
san_style,B3,3.9258,0.2829,0.0224,0.2453;0.3059;0.2843;0.3050;0.2741
per_unit,B0,0.0664,0.7813,0.1025,0.6314;0.9540;0.7684;0.7726;0.7803
per_unit,B3,0.0664,0.2602,0.0078,0.2510;0.2586;0.2543;0.2732;0.2638
