rep,cond,dist_W,nrmse_mean,nrmse_std,rmse_kw_mean,seeds
zscore,B0,0.4664,84.5744,57.9533,56.745,100.1495;177.2713;96.1253;42.6269;6.6989
zscore,B3,0.4664,62.6734,2.4189,42.051,62.9770;58.1475;64.3969;65.0602;62.7855
robust,B0,0.9539,25.9892,23.0426,17.438,29.1027;66.7500;26.2473;6.1343;1.7119
robust,B3,0.9539,55.9869,2.8874,37.565,54.3401;57.7906;60.7056;52.6636;54.4344
log,B0,0.6189,24.8307,26.0233,16.66,18.3069;72.5275;29.4231;2.2773;1.6190
log,B3,0.6189,2.1807,0.3994,1.463,2.7651;1.6471;2.4988;1.9643;2.0281
revin,B0,0.1124,1.6195,0.4217,1.087,1.5989;2.2711;1.7681;1.4927;0.9669
revin,B3,0.1124,0.5096,0.0132,0.342,0.5185;0.5060;0.5241;0.4861;0.5135
san_style,B0,74033.9191,3.0009,0.1616,2.013,2.8264;3.2433;3.0101;2.8240;3.1007
san_style,B3,74033.9191,2.6555,0.0332,1.782,2.6827;2.7036;2.6389;2.6108;2.6413
clear_sky,B0,0.0338,1.3581,0.2736,0.911,1.0783;1.0112;1.4031;1.6956;1.6024
clear_sky,B3,0.0338,0.3702,0.0059,0.248,0.3759;0.3710;0.3634;0.3773;0.3635
