run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,1,0.0,0.0,0,1.631735,37.585,23.0338,,0,0.5,10,64,0.0001,10.4,2026-09-04T17:56:29.857203+00:00,
,B3,1,0.0,0.0,0,0.880004,20.2698,23.0338,,0,0.5,10,64,0.0001,3.1,2026-09-04T17:56:32.995511+00:00,
,B4,1,100.0,0.0,0,0.880336,20.2774,23.0338,,0,0.5,10,64,0.0001,3.6,2026-09-04T17:56:36.614666+00:00,
,B0,7,0.0,0.0,0,1.171,26.9725,23.0338,,0,0.5,10,64,0.0001,10.6,2026-09-04T17:56:47.250469+00:00,
,B3,7,0.0,0.0,0,0.93544,21.5467,23.0338,,0,0.5,10,64,0.0001,11.1,2026-09-04T17:56:58.332680+00:00,
,B4,7,100.0,0.0,0,0.936478,21.5706,23.0338,,0,0.5,10,64,0.0001,13.2,2026-09-04T17:57:11.518327+00:00,
,B0,30,0.0,0.0,0,0.861799,19.8505,23.0338,,0,0.5,10,64,0.0001,40.5,2026-09-04T17:57:51.992227+00:00,
,B3,30,0.0,0.0,0,0.538649,12.4071,23.0338,,0,0.5,10,64,0.0001,39.3,2026-09-04T17:58:31.279138+00:00,
,B4,30,100.0,0.0,0,0.543815,12.5261,23.0338,,0,0.5,10,64,0.0001,44.7,2026-09-04T17:59:16.016776+00:00,
,B0,60,0.0,0.0,0,0.922818,21.256,23.0338,,0,0.5,10,64,0.0001,79.2,2026-09-04T18:00:35.275396+00:00,
,B3,60,0.0,0.0,0,0.525548,12.1053,23.0338,,0,0.5,10,64,0.0001,83.9,2026-09-04T18:01:59.152345+00:00,
,B4,60,100.0,0.0,0,0.526426,12.1256,23.0338,,0,0.5,10,64,0.0001,93.5,2026-09-04T18:03:32.652154+00:00,
,B0,90,0.0,0.0,0,0.85742,19.7496,23.0338,,0,0.5,10,64,0.0001,123.4,2026-09-04T18:05:36.056331+00:00,
,B3,90,0.0,0.0,0,0.543826,12.5264,23.0338,,0,0.5,10,64,0.0001,120.6,2026-09-04T18:07:36.668632+00:00,
,B4,90,100.0,0.0,0,0.536953,12.368,23.0338,,0,0.5,10,64,0.0001,124.8,2026-09-04T18:09:41.526393+00:00,
,B0,1,0.0,0.0,1,1.308443,30.1384,23.0338,,0,0.5,10,64,0.0001,2.7,2026-09-04T18:09:44.282629+00:00,
,B3,1,0.0,0.0,1,0.950426,21.8919,23.0338,,0,0.5,10,64,0.0001,2.7,2026-09-04T18:09:47.050398+00:00,
,B4,1,100.0,0.0,1,0.950442,21.8922,23.0338,,0,0.5,10,64,0.0001,2.0,2026-09-04T18:09:49.105127+00:00,
,B0,7,0.0,0.0,1,1.29429,29.8124,23.0338,,0,0.5,10,64,0.0001,9.7,2026-09-04T18:09:58.790822+00:00,
,B3,7,0.0,0.0,1,0.916304,21.1059,23.0338,,0,0.5,10,64,0.0001,9.4,2026-09-04T18:10:08.176390+00:00,
,B4,7,100.0,0.0,1,0.916431,21.1088,23.0338,,0,0.5,10,64,0.0001,9.8,2026-09-04T18:10:18.002106+00:00,
,B0,30,0.0,0.0,1,0.956031,22.021,23.0338,,0,0.5,10,64,0.0001,34.0,2026-09-04T18:10:52.044771+00:00,
,B3,30,0.0,0.0,1,0.531965,12.2531,23.0338,,0,0.5,10,64,0.0001,35.0,2026-09-04T18:11:27.034394+00:00,
,B4,30,100.0,0.0,1,0.531114,12.2335,23.0338,,0,0.5,10,64,0.0001,47.3,2026-09-04T18:12:14.302119+00:00,
,B0,60,0.0,0.0,1,1.086685,25.0304,23.0338,,0,0.5,10,64,0.0001,95.6,2026-09-04T18:13:49.886837+00:00,
,B3,60,0.0,0.0,1,0.54031,12.4454,23.0338,,0,0.5,10,64,0.0001,83.8,2026-09-04T18:15:13.693456+00:00,
,B4,60,100.0,0.0,1,0.546479,12.5875,23.0338,,0,0.5,10,64,0.0001,91.1,2026-09-04T18:16:44.782195+00:00,
,B0,90,0.0,0.0,1,1.074438,24.7483,23.0338,,0,0.5,10,64,0.0001,95.9,2026-09-04T18:18:20.683248+00:00,
,B3,90,0.0,0.0,1,0.537808,12.3877,23.0338,,0,0.5,10,64,0.0001,97.7,2026-09-04T18:19:58.425012+00:00,
,B4,90,100.0,0.0,1,0.537542,12.3816,23.0338,,0,0.5,10,64,0.0001,109.0,2026-09-04T18:21:47.458716+00:00,
,B0,1,0.0,0.0,2,1.666007,38.3744,23.0338,,0,0.5,10,64,0.0001,2.4,2026-09-04T18:21:49.858407+00:00,
,B3,1,0.0,0.0,2,0.886084,20.4098,23.0338,,0,0.5,10,64,0.0001,2.4,2026-09-04T18:21:52.278211+00:00,
,B4,1,100.0,0.0,2,0.886136,20.411,23.0338,,0,0.5,10,64,0.0001,1.8,2026-09-04T18:21:54.108940+00:00,
,B0,7,0.0,0.0,2,1.317837,30.3547,23.0338,,0,0.5,10,64,0.0001,8.9,2026-09-04T18:22:03.070307+00:00,
,B3,7,0.0,0.0,2,0.906872,20.8887,23.0338,,0,0.5,10,64,0.0001,9.1,2026-09-04T18:22:12.157744+00:00,
,B4,7,100.0,0.0,2,0.906559,20.8815,23.0338,,0,0.5,10,64,0.0001,10.2,2026-09-04T18:22:22.376412+00:00,
,B0,30,0.0,0.0,2,0.936204,21.5643,23.0338,,0,0.5,10,64,0.0001,31.5,2026-09-04T18:22:53.917205+00:00,
,B3,30,0.0,0.0,2,0.500183,11.5211,23.0338,,0,0.5,10,64,0.0001,34.0,2026-09-04T18:23:27.892137+00:00,
,B4,30,100.0,0.0,2,0.505275,11.6384,23.0338,,0,0.5,10,64,0.0001,39.4,2026-09-04T18:24:07.311269+00:00,
