run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,30,0.0,0.0,0,0.861292,19.8388,23.0338,1.335325,,,10,64,0.0001,34.2,2026-09-05T12:43:06.194471+00:00,
,B3,30,0.0,0.0,0,0.541504,12.4729,23.0338,0.600425,,,10,64,0.0001,29.5,2026-09-05T12:43:35.753781+00:00,
,B1,30,100.0,0.0,0,0.765759,17.6383,23.0338,0.614509,,,10,64,0.0001,32.7,2026-09-05T12:44:08.446038+00:00,
,B4,30,100.0,0.0,0,0.541429,12.4711,23.0338,0.604991,,,10,64,0.0001,36.7,2026-09-05T12:44:45.184788+00:00,
,B5,30,0.0,1.0,0,0.697099,16.0568,23.0338,0.389765,,,10,64,0.0001,48.6,2026-09-05T12:45:33.758801+00:00,
,B0,30,0.0,0.0,1,0.925178,21.3103,23.0338,1.569876,,,10,64,0.0001,28.3,2026-09-05T12:46:02.077435+00:00,
,B3,30,0.0,0.0,1,0.528695,12.1778,23.0338,0.545415,,,10,64,0.0001,29.1,2026-09-05T12:46:31.161255+00:00,
,B1,30,100.0,0.0,1,0.780759,17.9838,23.0338,0.627051,,,10,64,0.0001,39.9,2026-09-05T12:47:11.057897+00:00,
,B4,30,100.0,0.0,1,0.52833,12.1694,23.0338,0.547065,,,10,64,0.0001,39.9,2026-09-05T12:47:50.923177+00:00,
,B5,30,0.0,1.0,1,0.663318,15.2787,23.0338,0.378581,,,10,64,0.0001,50.0,2026-09-05T12:48:40.957043+00:00,
,B0,30,0.0,0.0,2,0.934182,21.5177,23.0338,1.612128,,,10,64,0.0001,29.1,2026-09-05T12:49:10.058309+00:00,
,B3,30,0.0,0.0,2,0.504538,11.6214,23.0338,0.548121,,,10,64,0.0001,31.4,2026-09-05T12:49:41.499568+00:00,
,B1,30,100.0,0.0,2,0.780688,17.9822,23.0338,0.61186,,,10,64,0.0001,34.2,2026-09-05T12:50:15.762510+00:00,
,B4,30,100.0,0.0,2,0.515511,11.8741,23.0338,0.54967,,,10,64,0.0001,35.2,2026-09-05T12:50:51.015527+00:00,
,B5,30,0.0,1.0,2,0.684003,15.7552,23.0338,0.416779,,,10,64,0.0001,59.7,2026-09-05T12:51:50.753277+00:00,
