run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B1,30,10.0,0.0,0,0.74855,17.2419,23.0338,0.551019,,,10,64,0.0001,87.4,2026-08-03T14:58:54.154098+00:00,fisher_normalized
,B1,30,100.0,0.0,0,0.760473,17.5165,23.0338,0.550733,,,10,64,0.0001,8166.9,2026-08-03T17:15:01.067942+00:00,fisher_normalized
,B1,30,1000.0,0.0,0,0.7657,17.637,23.0338,0.551784,,,10,64,0.0001,85.8,2026-08-03T17:16:26.929888+00:00,fisher_normalized
,B1,30,10000.0,0.0,0,0.767455,17.6774,23.0338,0.552427,,,10,64,0.0001,75.5,2026-08-03T17:17:42.487809+00:00,fisher_normalized
,B4,30,10.0,0.0,0,0.827098,19.0512,23.0338,0.619988,,,10,64,0.0001,93.0,2026-08-03T17:19:15.494993+00:00,fisher_normalized
,B4,30,100.0,0.0,0,0.801632,18.4646,23.0338,0.555624,,,10,64,0.0001,89.0,2026-08-03T17:20:44.497921+00:00,fisher_normalized
,B4,30,1000.0,0.0,0,0.80325,18.5019,23.0338,0.561074,,,10,64,0.0001,88.8,2026-08-03T17:22:13.318141+00:00,fisher_normalized
,B4,30,10000.0,0.0,0,0.80534,18.55,23.0338,0.563773,,,10,64,0.0001,83.1,2026-08-03T17:23:36.493072+00:00,fisher_normalized
,B1,30,10.0,0.0,1,0.750573,17.2885,23.0338,0.551689,,,10,64,0.0001,98.5,2026-08-03T17:25:15.015535+00:00,fisher_normalized
,B1,30,100.0,0.0,1,0.751457,17.3089,23.0338,0.551094,,,10,64,0.0001,87.5,2026-08-03T17:26:42.539001+00:00,fisher_normalized
,B1,30,1000.0,0.0,1,0.755454,17.4009,23.0338,0.552642,,,10,64,0.0001,95.8,2026-08-03T17:28:18.356947+00:00,fisher_normalized
,B1,30,10000.0,0.0,1,0.756505,17.4252,23.0338,0.553402,,,10,64,0.0001,101.1,2026-08-03T17:29:59.460691+00:00,fisher_normalized
,B4,30,10.0,0.0,1,0.758929,17.481,23.0338,0.577473,,,10,64,0.0001,101.9,2026-08-03T17:31:41.420210+00:00,fisher_normalized
,B4,30,100.0,0.0,1,0.762289,17.5584,23.0338,0.516803,,,10,64,0.0001,100.0,2026-08-03T17:33:21.480595+00:00,fisher_normalized
,B4,30,1000.0,0.0,1,0.775401,17.8604,23.0338,0.53144,,,10,64,0.0001,103.6,2026-08-03T17:35:05.120040+00:00,fisher_normalized
,B4,30,10000.0,0.0,1,0.781905,18.0102,23.0338,0.538755,,,10,64,0.0001,100.9,2026-08-03T17:36:46.066519+00:00,fisher_normalized
,B1,30,10.0,0.0,2,0.74979,17.2705,23.0338,0.561333,,,10,64,0.0001,106.6,2026-08-03T17:38:32.722267+00:00,fisher_normalized
,B1,30,100.0,0.0,2,0.760689,17.5215,23.0338,0.559733,,,10,64,0.0001,110.1,2026-08-03T17:40:22.843928+00:00,fisher_normalized
,B1,30,1000.0,0.0,2,0.77067,17.7514,23.0338,0.559534,,,10,64,0.0001,120.5,2026-08-03T17:42:23.430002+00:00,fisher_normalized
,B1,30,10000.0,0.0,2,0.770823,17.755,23.0338,0.560012,,,10,64,0.0001,101.5,2026-08-03T17:44:04.980433+00:00,fisher_normalized
,B4,30,10.0,0.0,2,0.741138,17.0712,23.0338,0.500806,,,10,64,0.0001,105.2,2026-08-03T17:45:50.238038+00:00,fisher_normalized
,B4,30,100.0,0.0,2,0.721926,16.6287,23.0338,0.475146,,,10,64,0.0001,104.0,2026-08-03T17:47:34.292888+00:00,fisher_normalized
,B4,30,1000.0,0.0,2,0.724749,16.6937,23.0338,0.481856,,,10,64,0.0001,98.5,2026-08-03T17:49:12.835724+00:00,fisher_normalized
,B4,30,10000.0,0.0,2,0.728568,16.7817,23.0338,0.485175,,,10,64,0.0001,100.4,2026-08-03T17:50:53.256744+00:00,fisher_normalized
